coin,short_venue,long_venue,apr_30d,apr_90d,pos_day_frac,med_ep_days,fees_rt_pct,sleg_spread_bps,lleg_spread_bps,cap_short,cap_long,rt_slip_1000_bps,rt_cost_1000_pct,net_apr30_1000,net_apr14_1000,breakeven_d_1000,rt_slip_5000_bps,rt_cost_5000_pct,net_apr30_5000,net_apr14_5000,breakeven_d_5000,rt_slip_10000_bps,rt_cost_10000_pct,net_apr30_10000,net_apr14_10000,breakeven_d_10000,min_leg_depth25,rt_cost_1000_maker_pct,net_apr30_1000_maker,pass_1k,pass_10k,pair_cap
龙虾,aster,binance,1.10465,0.594198,1.0,91,0.18,10.819103,3.87503,2500,10000,37.7,0.557,1.036905,0.959482,1.839819,67.1,0.851,1.001146,0.882855,2.810961,227.5,2.455,0.806,0.464685,8.110722,3083,0.297,1.06852,1,0,2500
XMR,dydx,binance,0.976869,1.069122,0.976744,33,0.2,125.714286,0.191166,0,25000,129.0,1.49,0.795537,0.5883,5.568771,307.8,3.278,0.578009,0.122169,12.24913,339.6,3.596,0.539353,0.039335,13.436267,0,0.862,0.872013,0,0,0
XMR,dydx,bybit,0.984207,1.07194,0.976744,33,0.21,125.714286,0.191305,0,25000,134.2,1.552,0.795334,0.579479,5.757109,311.7,3.327,0.579383,0.116727,12.339597,343.8,3.648,0.54038,0.03315,13.528453,0,0.924,0.87181,0,0,0
BTW,aster,bitget,0.866254,0.849039,0.966667,20,0.2,11.53713,5.634467,10000,5000,43.9,0.639,0.788491,0.699618,2.693087,70.5,0.905,0.756194,0.630412,3.811573,114.5,1.345,0.702573,0.51551,5.668566,2631,0.47,0.809065,1,0,5000
XMR,dydx,bitget,0.980698,1.069787,0.976744,33,0.22,125.714286,7.637377,0,25000,136.6,1.586,0.787772,0.567286,5.901683,312.8,3.348,0.57334,0.107787,12.461275,344.3,3.663,0.535021,0.025675,13.633468,0,0.957,0.864248,0,0,0
BTW,aster,bybit,0.700195,0.745925,0.966292,66,0.19,11.53713,2.565089,10000,2500,37.1,0.561,0.631968,0.553994,2.923201,90.3,1.093,0.567219,0.415247,5.697366,148.5,1.675,0.496434,0.263564,8.730193,1489,0.392,0.652542,1,0,2500
XMR,dydx,aster,0.705026,0.871832,0.930233,6,0.18,125.714286,2.292132,0,25000,130.4,1.484,0.52446,0.3181,7.683355,308.0,3.26,0.308411,-0.144863,16.876615,340.6,3.586,0.268759,-0.229833,18.563888,0,0.856,0.600937,0,0,0
MAGMA,aster,bitget,0.583502,0.491785,0.989011,57,0.2,4.326694,6.336953,5000,10000,36.2,0.562,0.515169,0.437074,3.513246,74.7,0.947,0.468317,0.336676,5.922113,103.1,1.231,0.433694,0.262485,7.702193,2500,0.409,0.533782,1,0,5000
MAGMA,aster,bybit,0.553811,0.472684,1.0,91,0.19,4.326694,8.639309,5000,5000,35.0,0.54,0.488118,0.413041,3.55858,89.5,1.085,0.42177,0.270866,7.152685,152.8,1.718,0.344795,0.10592,11.32242,2202,0.387,0.506731,1,0,5000
MAGMA,aster,binance,0.519924,0.470315,1.0,91,0.18,4.326694,0.864043,5000,5000,25.2,0.432,0.467392,0.407355,3.031136,67.2,0.852,0.416245,0.297754,5.982382,117.8,1.358,0.354676,0.165822,9.534913,2500,0.279,0.486005,1,0,5000
UAI,aster,binance,0.48684,0.270543,1.0,91,0.18,16.562167,2.366024,25000,25000,22.9,0.409,0.437133,0.380325,3.063034,38.4,0.564,0.418281,0.339927,4.224745,52.1,0.701,0.40161,0.304204,5.252029,11806,0.243,0.457284,1,1,25000
UAI,aster,bitget,0.483795,0.278302,1.0,91,0.2,16.562167,5.920733,25000,10000,39.8,0.598,0.410999,0.327804,4.514036,50.7,0.707,0.397794,0.299506,5.332918,68.1,0.881,0.376616,0.254127,6.646117,6790,0.433,0.43115,1,0,10000
UAI,aster,bybit,0.481424,0.263471,0.978022,64,0.19,16.562167,4.738214,25000,2500,40.6,0.596,0.408959,0.326143,4.515645,90.5,1.095,0.348236,0.19602,8.299659,153.1,1.721,0.272016,0.032693,13.049275,1498,0.43,0.42911,1,0,2500
POWER,aster,binance,0.436129,0.381466,1.0,91,0.18,35.204856,6.066857,1000,2500,64.5,0.825,0.335772,0.221079,6.903238,2160.9,21.789,-2.214903,-5.244653,182.35647,2198.1,22.161,-2.260108,-5.341521,185.466003,1118,0.546,0.369689,1,0,1000
ONDO,dydx,binance,0.456695,0.39881,0.930233,14,0.2,80.298251,2.877284,0,25000,83.2,1.032,0.331163,0.187698,8.246117,83.4,1.034,0.330892,0.187116,8.26394,95.8,1.158,0.315838,0.154858,9.252815,0,0.63,0.380011,0,0,0
