coin,short_venue,long_venue,iv_short,iv_long,overlap_days,apr_90d,apr_30d,apr_14d,pos_day_frac,persist_3bps,persist_10bps,persist_25bps,cond1_pos,cond7_pos,n_episodes,med_ep_days,max_ep_days,med_ep_slope_apr_day,trend_apr_pts_day,trend7_apr_pts_day,max_dd_notional,daily_std,live_gross_apr,cost_roundtrip,net_apr_14d_hold,net_apr_30d_hold,net_apr_ep_hold,flag
龙虾,aster,binance,1.0,4.0,89.875,0.594198,1.10465,1.21166,1.0,0.868132,0.56044,0.252747,0.989011,0.923077,1,91,91,0.013594,0.013594,0.013621,0.000145,0.001378,0.877205,0.0018,0.547269,0.572298,0.586978,E1
龙虾,aster,bitget,1.0,4.0,89.875,0.421868,0.948994,1.309238,0.758242,0.626374,0.43956,0.208791,0.869565,0.652174,9,4,22,-0.028372,0.015001,0.014503,0.006082,0.001681,0.183434,0.002,0.369725,0.397535,0.239368,E1
BTW,aster,bitget,1.0,4.0,88.708333,0.849039,0.866254,0.312539,0.966667,0.944444,0.733333,0.355556,0.965517,0.896552,3,20,66,0.057028,0.000871,0.003619,0.005996,0.001836,0.432656,0.002,0.796896,0.824706,0.812539,E1
BTW,aster,bybit,1.0,4.0,88.041667,0.745925,0.700195,0.272531,0.966292,0.921348,0.674157,0.303371,0.976744,0.895349,2,66,66,0.066913,-0.000983,0.001902,0.006535,0.001843,0.165936,0.0019,0.69639,0.722809,0.735418,E1
MAGMA,aster,bitget,1.0,4.0,89.875,0.491785,0.583502,0.616837,0.989011,0.912088,0.56044,0.153846,0.977778,0.911111,2,57,57,0.00143,0.000215,-0.000719,0.000876,0.000949,0.63256,0.002,0.439642,0.467452,0.478978,E1
MAGMA,aster,bybit,1.0,4.0,89.875,0.472684,0.553811,0.582954,1.0,0.934066,0.571429,0.10989,0.989011,0.923077,1,91,91,0.001009,0.001009,0.000229,0.000293,0.000854,0.63256,0.0019,0.423148,0.449567,0.465063,E1
MAGMA,aster,binance,1.0,4.0,89.875,0.470315,0.519924,0.54585,1.0,0.923077,0.604396,0.076923,0.989011,0.923077,1,91,91,-0.000122,-0.000122,-0.000788,0.000104,0.000826,0.63256,0.0018,0.423387,0.448415,0.463096,E1
CYS,aster,bitget,1.0,4.0,89.875,0.370796,0.499246,0.671949,0.945055,0.835165,0.428571,0.076923,0.94186,0.883721,5,6,63,0.027373,0.005083,0.0054,0.011197,0.001346,0.0,0.002,0.318653,0.346462,0.249129,E1
UAI,aster,binance,1.0,4.0,89.875,0.270543,0.48684,0.527458,1.0,0.56044,0.285714,0.021978,0.989011,0.923077,1,91,91,0.005936,0.005936,0.004908,0.000159,0.000676,1.416667,0.0018,0.223615,0.248643,0.263324,E1
UAI,aster,bitget,1.0,4.0,89.875,0.278302,0.483795,0.553689,1.0,0.571429,0.274725,0.043956,0.989011,0.923077,1,91,91,0.00618,0.00618,0.005111,0.000247,0.000724,1.45381,0.002,0.22616,0.253969,0.27028,E1
UAI,aster,bybit,1.0,4.0,89.875,0.263471,0.481424,0.549599,0.978022,0.538462,0.252747,0.043956,0.977528,0.898876,2,64,64,0.009307,0.00634,0.005276,0.000306,0.000734,1.45381,0.0019,0.213935,0.240354,0.252635,E1
CYS,aster,bybit,1.0,4.0,89.875,0.358615,0.4716,0.665887,0.934066,0.824176,0.43956,0.065934,0.929412,0.870588,6,12,40,0.008515,0.004694,0.005008,0.010442,0.001283,0.0,0.0019,0.309079,0.335498,0.300823,E1
POWER,aster,bybit,1.0,4.0,89.875,0.376486,0.451361,0.399716,0.989011,0.824176,0.472527,0.043956,0.977778,0.922222,2,89,89,0.000897,0.00122,0.002069,0.000304,0.000727,0.0,0.0019,0.32695,0.353369,0.368693,E1
CYS,aster,binance,1.0,4.0,89.875,0.346388,0.441045,0.633836,0.945055,0.835165,0.43956,0.065934,0.94186,0.883721,5,6,63,0.021296,0.004325,0.004604,0.011536,0.001309,0.570867,0.0018,0.29946,0.324488,0.236888,E1
POWER,aster,binance,1.0,4.0,89.875,0.381466,0.436129,0.416162,1.0,0.879121,0.450549,0.032967,0.989011,0.923077,1,91,91,0.000488,0.000488,0.001251,0.000191,0.000667,0.0,0.0018,0.334538,0.359566,0.374247,E1
CASHCAT,aster,bybit,1.0,4.0,27.041667,0.432695,0.417885,0.408357,0.785714,0.75,0.464286,0.214286,0.818182,0.454545,4,7,8,0.007057,-0.006788,-0.021551,0.004098,0.001935,0.617054,0.0019,0.383159,0.409578,0.333623,E1
POWER,aster,bitget,1.0,4.0,89.875,0.382422,0.412953,0.401642,0.956044,0.868132,0.472527,0.021978,0.954023,0.873563,4,28,37,-0.001688,-0.000445,0.00041,0.00074,0.000749,0.0,0.002,0.330279,0.358089,0.35635,E1
