coin,short_venue,long_venue,iv_short,iv_long,overlap_days,apr_90d,apr_30d,apr_14d,pos_day_frac,persist_3bps,persist_10bps,persist_25bps,cond1_pos,cond7_pos,n_episodes,med_ep_days,max_ep_days,med_ep_slope_apr_day,trend_apr_pts_day,trend7_apr_pts_day,max_dd_notional,daily_std,live_gross_apr,cost_roundtrip,net_apr_14d_hold,net_apr_30d_hold,net_apr_ep_hold,flag
BZ,bybit,bitget,8.0,4.0,89.708333,0.02401,0.061441,0.012506,0.472527,0.087912,0.0,0.0,0.604651,0.465116,17,2,6,-4.6e-05,0.000433,0.000498,0.001678,0.000262,0.053535,0.0023,-0.035954,-0.003973,-0.39574,E2
NATGAS,bitget,aster,4.0,4.0,89.875,-0.005337,0.039349,0.033223,0.351648,0.021978,0.0,0.0,0.59375,0.65625,13,2,5,0.010494,0.00084,0.000737,0.004892,0.000326,0.28689,0.002,-0.05748,-0.029671,-0.370337,E2
NATGAS,bitget,binance,4.0,4.0,89.875,-0.007122,0.037504,0.028735,0.384615,0.021978,0.0,0.0,0.6,0.628571,14,2,5,0.006397,0.000931,0.000841,0.00536,0.000319,0.28689,0.0022,-0.064479,-0.033888,-0.408622,E2
CL,aster,bitget,4.0,4.0,89.875,0.019938,0.036748,0.012454,0.395604,0.10989,0.010989,0.0,0.555556,0.527778,16,2,5,0.017235,9.9e-05,-8.4e-05,0.002745,0.000225,0.127239,0.002,-0.032205,-0.004395,-0.345062,E2
SKHYNIX,bitget,bybit,4.0,8.0,89.375,0.053958,0.024634,-0.012148,0.533333,0.288889,0.011111,0.0,0.645833,0.666667,17,2,6,-0.011273,-0.000138,5.8e-05,0.002083,0.000331,0.647211,0.0023,-0.006007,0.025974,-0.365792,E2
XAG,bitget,dydx,4.0,1.0,41.583333,0.014377,0.013795,0.019485,0.674419,0.0,0.0,0.0,0.689655,0.758621,9,3,5,0.002231,9.7e-05,3.9e-05,0.000309,7e-05,0.11607,0.0022,-0.042981,-0.01239,-0.25329,E2
RKLB,bybit,aster,8.0,8.0,89.708333,0.009991,0.012391,0.008479,0.472527,0.0,0.0,0.0,0.604651,0.44186,17,2,6,0.000308,-1.9e-05,2.1e-05,0.000206,6e-05,0.282674,0.0019,-0.039545,-0.013126,-0.336759,E2
MINIMAX,aster,bybit,8.0,8.0,35.041667,0.020189,0.012171,0.006141,0.583333,0.055556,0.0,0.0,0.47619,0.52381,11,1,5,0.008928,-0.001558,-0.001794,6.5e-05,9.1e-05,0.006143,0.0019,-0.029346,-0.002927,,E2
AAOI,bitget,bybit,8.0,8.0,84.041667,-0.000824,0.011802,0.019978,0.282353,0.0,0.0,0.0,0.333333,0.333333,16,1,3,0.014203,0.000576,0.000622,0.001607,8.6e-05,0.0,0.0023,-0.060788,-0.028807,,E2
MINIMAX,bitget,bybit,8.0,8.0,35.041667,0.013371,0.011754,0.009072,0.527778,0.027778,0.0,0.0,0.578947,0.578947,8,2,5,0.010663,-0.000508,-0.000426,6.5e-05,6.8e-05,0.0,0.0023,-0.046593,-0.014612,-0.406379,E2
