coin,short_venue,long_venue,apr_90d,apr_30d,apr_14d,pos_day_frac,max_dd_notional,daily_std,overlap_days,iv_a,iv_b,cost_roundtrip,net_apr_14d_hold,net_apr_30d_hold,live_gross_apr
XMR,hl,binance,0.296669,0.472633,0.638461,0.912088,0.002383,0.00094,89.708333,1.0,8.0,0.0019,0.247133,0.273552,1.140105
XMR,hl,bybit,0.297879,0.479343,0.652735,0.912088,0.002612,0.000956,89.708333,1.0,8.0,0.002,0.245736,0.273546,0.903552
TRUMP,bybit,hl,0.204027,0.010604,-0.021995,0.681319,0.003188,0.000819,89.875,8.0,1.0,0.002,0.151884,0.179694,0.0
LIT,hl,bybit,0.140593,0.0,0.0,0.976744,0.001232,0.000379,41.708333,1.000001,8.0,0.002,0.088451,0.11626,0.03412
S,bybit,hl,0.125656,0.058736,-0.032909,0.56044,0.003432,0.000716,89.875,8.0,1.0,0.002,0.073513,0.101323,0.0
NEAR,hl,binance,0.119198,0.157207,0.225959,0.989011,0.000204,0.000279,89.708333,1.0,8.0,0.0019,0.069662,0.096081,0.219853
NEAR,hl,bybit,0.118977,0.155907,0.222466,0.989011,0.000204,0.000279,89.708333,1.0,8.0,0.002,0.066834,0.094643,0.219853
GMX,hl,bybit,0.117498,0.156192,0.21471,0.978022,0.00017,0.000285,89.708333,1.0,8.0,0.002,0.065356,0.093165,0.137674
GMX,hl,binance,0.11555,0.155406,0.213957,0.978022,0.000201,0.000286,89.708333,1.0,8.0,0.0019,0.066015,0.092434,0.098638
TRX,binance,hl,0.109589,-0.029834,-0.063157,0.56044,0.005255,0.000701,89.708333,8.0,1.0,0.0019,0.060053,0.086472,0.923823
TRX,bybit,hl,0.108523,-0.032383,-0.064976,0.538462,0.005406,0.000718,89.708333,8.0,1.0,0.002,0.05638,0.08419,0.982439
FET,hl,binance,0.107151,0.137543,0.228266,0.934066,0.001334,0.000366,89.708333,1.0,8.0,0.0019,0.057615,0.084034,0.187617
HYPE,hl,bybit,0.104878,0.007792,0.0,1.0,0.000103,0.000134,62.583333,1.0,8.0,0.002,0.052735,0.080544,0.082278
LINK,hl,bybit,0.10482,0.111524,0.150745,0.940476,0.000196,0.000314,83.416667,1.0,8.0,0.002,0.052677,0.080487,0.000252
AR,hl,bybit,0.102944,0.0,0.0,0.976744,8.2e-05,8.1e-05,41.708333,1.000001,8.0,0.002,0.050801,0.078611,0.130863
LINK,hl,binance,0.101591,0.108327,0.14944,0.940476,0.000247,0.000316,83.416667,1.0,8.0,0.0019,0.052055,0.078474,0.025229
AAVE,hl,binance,0.100533,0.131994,0.228952,0.923077,0.000529,0.000356,89.708333,1.0,8.0,0.0019,0.050997,0.077416,0.035708
AAVE,hl,bybit,0.101269,0.133136,0.231572,0.923077,0.00053,0.000356,89.708333,1.0,8.0,0.002,0.049126,0.076935,0.003121
ENA,hl,okx,0.096824,0.137212,0.211506,0.967033,0.000422,0.000302,89.875,1.0,8.0,0.0019,0.047288,0.073707,0.05475
ENA,hl,binance,0.094601,0.131211,0.199449,0.967033,0.000405,0.000291,89.875,1.0,4.0,0.0019,0.045066,0.071485,0.040033
