coin,short_venue,long_venue,iv_short,iv_long,overlap_days,apr_90d,apr_30d,apr_14d,pos_day_frac,persist_3bps,persist_10bps,persist_25bps,cond1_pos,cond7_pos,n_episodes,med_ep_days,max_ep_days,med_ep_slope_apr_day,trend_apr_pts_day,trend7_apr_pts_day,max_dd_notional,daily_std,live_gross_apr,cost_roundtrip,net_apr_14d_hold,net_apr_30d_hold,net_apr_ep_hold,flag
0G,binance,aster,4.0,1.0,89.875,0.2832,0.181621,0.243376,0.736264,0.527473,0.241758,0.087912,0.850746,0.776119,10,3,32,0.00553,-0.002378,-0.003663,0.002689,0.001363,0.592154,0.0018,0.236271,0.2613,0.0642,GEN
0G,bitget,aster,4.0,1.0,89.875,0.310221,0.20179,0.273675,0.769231,0.549451,0.263736,0.087912,0.885714,0.785714,8,4,32,0.008651,-0.002239,-0.003649,0.002692,0.001459,1.283077,0.002,0.258078,0.285887,0.127721,GEN
0G,bybit,aster,4.0,1.0,89.875,0.283236,0.190474,0.254973,0.769231,0.527473,0.241758,0.087912,0.885714,0.785714,8,4,32,0.007178,-0.001916,-0.003281,0.002692,0.001359,1.270638,0.0019,0.233701,0.26012,0.109861,GEN
0G,okx,aster,4.0,1.0,89.916667,0.29683,0.179407,0.231839,0.78022,0.527473,0.252747,0.087912,0.901408,0.788732,7,4,32,-0.008637,-0.002714,-0.003863,0.002572,0.001334,4.039878,0.0018,0.249901,0.27493,0.13258,GEN
0G,bitget,binance,4.0,4.0,89.875,0.027021,0.020169,0.0303,0.725275,0.043956,0.0,0.0,0.80303,0.742424,13,3,18,0.004362,0.000139,1.4e-05,0.000206,0.000142,0.690923,0.0022,-0.030336,0.000255,-0.240645,GEN
0G,bybit,binance,4.0,4.0,89.875,3.7e-05,0.008853,0.011597,0.516484,0.010989,0.0,0.0,0.638298,0.510638,17,2,11,-0.002398,0.000462,0.000382,0.002507,0.000128,0.678484,0.0021,-0.054713,-0.025513,-0.383213,GEN
0G,okx,binance,4.0,4.0,89.875,0.013657,-0.002214,-0.011537,0.714286,0.0,0.0,0.0,0.784615,0.676923,14,5,10,-0.000597,-0.000329,-0.000182,0.000615,9e-05,3.447724,0.002,-0.038486,-0.010677,-0.132343,GEN
0G,bitget,bybit,4.0,4.0,89.875,0.026985,0.011315,0.018703,0.527473,0.087912,0.0,0.0,0.6875,0.479167,15,2,8,0.008873,-0.000323,-0.000368,0.000402,0.000157,0.012439,0.0023,-0.03298,-0.000999,-0.392765,GEN
0G,okx,bitget,4.0,4.0,89.875,-0.013365,-0.022382,-0.041836,0.230769,0.0,0.0,0.0,0.619048,0.142857,8,2,7,0.001326,-0.000468,-0.000196,0.00377,0.000177,2.756801,0.0022,-0.070722,-0.040131,-0.414865,GEN
0G,okx,bybit,4.0,4.0,89.875,0.01362,-0.011067,-0.023134,0.472527,0.032967,0.0,0.0,0.627907,0.465116,16,2,9,0.008526,-0.000791,-0.000564,0.001066,0.000162,2.76924,0.0021,-0.04113,-0.01193,-0.36963,GEN
AAOI,aster,binance,8.0,8.0,82.708333,-0.004063,-0.008376,-0.012831,0.238095,0.0,0.0,0.0,0.3,0.3,14,1,4,0.00323,-1.2e-05,4.7e-05,0.000921,5e-05,0.0,0.0018,-0.050992,-0.025963,,E2
AAOI,aster,bitget,8.0,8.0,82.708333,0.001032,-0.010608,-0.017241,0.321429,0.0,0.0,0.0,0.481481,0.444444,14,1,5,0.00337,-0.000396,-0.000361,0.001077,6.1e-05,0.0,0.002,-0.051111,-0.023301,,E2
AAOI,aster,bybit,8.0,8.0,82.708333,0.001938,0.001194,0.002738,0.380952,0.0,0.0,0.0,0.40625,0.21875,19,1,3,0.004947,8e-05,0.000131,0.000445,6e-05,0.0,0.0019,-0.047597,-0.021178,,E2
AAOI,binance,bitget,8.0,8.0,85.041667,0.009583,-0.002232,-0.00441,0.476744,0.023256,0.0,0.0,0.585366,0.487805,17,2,8,0.003423,-0.000657,-0.000842,0.000578,9.3e-05,0.0,0.0022,-0.047774,-0.017184,-0.391917,E2
AAOI,binance,bybit,8.0,8.0,84.041667,0.00729,0.00957,0.015569,0.552941,0.0,0.0,0.0,0.574468,0.425532,20,2,8,0.004704,-1e-06,-0.000147,0.00044,6.4e-05,0.0,0.0021,-0.04746,-0.01826,-0.37596,E2
AAOI,bitget,bybit,8.0,8.0,84.041667,-0.000824,0.011802,0.019978,0.282353,0.0,0.0,0.0,0.333333,0.333333,16,1,3,0.014203,0.000576,0.000622,0.001607,8.6e-05,0.0,0.0023,-0.060788,-0.028807,,E2
AAPL,aster,binance,8.0,8.0,89.708333,-0.002472,-0.003364,-0.006544,0.076923,0.0,0.0,0.0,0.285714,0.0,5,1,2,0.0,-1.6e-05,-2.3e-05,0.000608,2.3e-05,0.0,0.0018,-0.049401,-0.024372,,E2
AAPL,aster,bitget,8.0,8.0,89.708333,-0.003156,-0.007389,-0.007329,0.010989,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,-0.000119,-0.000126,0.000821,2e-05,0.0,0.002,-0.055299,-0.02749,,E2
AAPL,aster,bybit,8.0,8.0,89.708333,-0.000589,-0.004089,-0.00339,0.076923,0.0,0.0,0.0,0.857143,0.0,1,7,7,0.006565,-2.4e-05,-2.7e-05,0.000382,2.3e-05,0.0,0.0019,-0.050125,-0.023706,-0.099661,E2
AAPL,binance,bitget,8.0,8.0,89.708333,-0.000684,-0.004025,-0.000785,0.186813,0.0,0.0,0.0,0.294118,0.294118,12,1,4,0.004007,-0.000103,-0.000103,0.000462,2e-05,0.0,0.0022,-0.058041,-0.027451,,E2
AAPL,binance,bybit,8.0,8.0,89.708333,0.001883,-0.000726,0.003154,0.351648,0.0,0.0,0.0,0.625,0.34375,12,2,8,0.000201,-8e-06,-3e-06,0.000279,2.8e-05,0.0,0.0021,-0.052867,-0.023667,-0.381367,E2
AAPL,bitget,bybit,8.0,8.0,89.708333,0.002567,0.0033,0.003939,0.252747,0.0,0.0,0.0,0.695652,0.347826,7,3,8,0.000768,9.5e-05,9.9e-05,0.00013,2.7e-05,0.0,0.0023,-0.057397,-0.025416,-0.277266,E2
AAVE,binance,aster,8.0,8.0,89.708333,-0.009886,-0.007402,-0.002004,0.010989,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.000122,0.000107,0.00243,2e-05,0.011081,0.0018,-0.056814,-0.031786,,GEN
AAVE,bitget,aster,8.0,8.0,89.708333,-0.007696,-0.005053,-0.001598,0.054945,0.0,0.0,0.0,0.2,0.0,4,1,2,0.0,0.000122,0.000112,0.001895,2.1e-05,0.005617,0.002,-0.059839,-0.032029,,GEN
AAVE,bybit,aster,8.0,8.0,89.708333,-0.010634,-0.008679,-0.004302,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,7.1e-05,5.2e-05,0.002616,1.7e-05,0.015374,0.0019,-0.06017,-0.033751,,GEN
AAVE,aster,dydx,8.0,1.0,41.583333,0.012631,0.01254,0.012013,0.976744,0.0,0.0,0.0,0.97619,0.833333,1,42,42,-3.2e-05,1e-05,0.000102,9e-06,8e-06,0.020663,0.0018,-0.034297,-0.009269,-0.003012,GEN
AAVE,hl,aster,1.0,8.0,89.708333,0.090593,0.122542,0.225064,0.923077,0.076923,0.032967,0.010989,0.916667,0.869048,7,5,48,0.00164,0.000955,0.001074,0.000583,0.000362,0.088837,0.0017,0.046272,0.06991,-0.033507,GEN
AAVE,binance,bitget,8.0,8.0,89.708333,-0.00219,-0.002349,-0.000407,0.318681,0.0,0.0,0.0,0.241379,0.137931,22,1,3,-0.004835,0.0,-5e-06,0.000583,2e-05,0.005464,0.0022,-0.059547,-0.028957,,GEN
AAVE,bybit,binance,8.0,8.0,89.708333,-0.000749,-0.001278,-0.002298,0.395604,0.0,0.0,0.0,0.583333,0.361111,15,1,10,0.000422,-5.1e-05,-5.4e-05,0.000418,1.5e-05,0.004292,0.0021,-0.055499,-0.026299,,GEN
AAVE,binance,dydx,8.0,1.0,41.583333,0.004787,0.005138,0.010009,0.72093,0.0,0.0,0.0,0.806452,0.516129,6,4,17,0.0008,0.000175,0.000178,6.1e-05,1.7e-05,0.031744,0.002,-0.047356,-0.019546,-0.177713,GEN
AAVE,hl,binance,1.0,8.0,89.708333,0.100479,0.129943,0.227069,0.923077,0.153846,0.032967,0.010989,0.916667,0.869048,7,5,48,0.001724,0.000833,0.000967,0.000529,0.000356,0.077756,0.0019,0.050943,0.077362,-0.038221,GEN
AAVE,bybit,bitget,8.0,8.0,89.708333,-0.002938,-0.003627,-0.002705,0.340659,0.0,0.0,0.0,0.258065,0.16129,23,1,4,0.000719,-5.1e-05,-5.9e-05,0.000771,1.9e-05,0.009756,0.0023,-0.062903,-0.030922,,GEN
AAVE,bitget,dydx,8.0,1.0,41.583333,0.007428,0.007487,0.010416,0.813953,0.0,0.0,0.0,0.828571,0.714286,6,5,15,-0.000983,0.000127,0.000195,3.5e-05,1.7e-05,0.02628,0.0022,-0.049929,-0.019339,-0.153172,GEN
AAVE,hl,bitget,1.0,8.0,89.708333,0.098289,0.127595,0.226662,0.923077,0.164835,0.032967,0.010989,0.916667,0.869048,7,5,48,0.001145,0.000833,0.000962,0.00057,0.000358,0.08322,0.0021,0.043539,0.072739,-0.055011,GEN
