coin,long,short,gross_apr,net7,net30,iv_short,iv_long,vol_min,flag
CSOPSKHYNIX2L,binance,gate,4.5999,4.4956,4.5756,8,8,-1,
CSOPSAMSUNG2L,binance,gate,3.3345,3.2303,3.3102,8,8,-1,
RPL,gate,binance,2.7386,2.6343,2.7143,4,8,-1,
RPL,gate,bybit,2.7386,2.6291,2.7130,4.0,8,-1,
CSOPSKHYNIX2L,bybit,gate,2.6559,2.5464,2.6303,8,8.0,-1,
CXMT,bybit,gate,2.5341,2.4246,2.5085,8,8.0,-1,
CSOPSAMSUNG2L,binance,bybit,2.5047,2.3952,2.4791,8.0,8,-1,
SKHYNIX,binance,gate,2.2036,2.0993,2.1793,8,4,-1,
SKHYNIX,aster,gate,2.1491,2.0553,2.1272,8,4,-1,
TMF,bybit,binance,2.0825,1.9730,2.0570,8,8.0,-1,
CXMT,bybit,binance,2.0190,1.9095,1.9935,8,8.0,-1,
SKHYNIX,bybit,gate,2.0105,1.9010,1.9849,8,8.0,-1,
SHAZ,binance,bybit,2.0047,1.8952,1.9791,8.0,8,-1,
CSOPSKHYNIX2L,binance,bybit,1.9441,1.8346,1.9185,8.0,8,-1,
BNC,bybit,binance,1.9315,1.8220,1.9059,8,8.0,-1,
FWDI,bybit,binance,1.8811,1.7716,1.8555,8,8.0,-1,
DKNG,binance,bybit,1.5939,1.4844,1.5684,8.0,8,-1,
SAMSUNG,bybit,gate,1.5538,1.4443,1.5283,8,8.0,-1,
SAMSUNG,binance,gate,1.5227,1.4184,1.4984,8,4,-1,
BX,binance,gate,1.4722,1.3679,1.4479,8,8,-1,
SKHYNIX,bitget,gate,1.3633,1.2486,1.3365,8,4,-1,
M,binance,bybit,1.3445,1.2350,1.3190,4.0,4,-1,
M,gate,bybit,1.3445,1.2350,1.3190,4.0,8,-1,
MEITUAN,bybit,binance,1.2530,1.1435,1.2275,8,8.0,-1,
BSP,bybit,binance,1.2456,1.1361,1.2201,8,8.0,-1,
CRDO,bybit,gate,1.1392,1.0297,1.1137,8,8.0,-1,
EWT,binance,bybit,1.1225,1.0130,1.0969,8.0,8,-1,
SAMSUNG,bybit,bitget,1.0666,0.9466,1.0386,4,8.0,-1,
ZHIPU,bybit,gate,1.0523,0.9428,1.0268,8,8.0,-1,
SAMSUNG,binance,bitget,1.0354,0.9207,1.0086,4,4,-1,
BITO,bybit,binance,1.0306,0.9211,1.0050,8,8.0,-1,
ZHIPU,binance,gate,0.9686,0.8644,0.9443,8,8,-1,
ZHIPU,bybit,bitget,0.9111,0.7911,0.8831,8,8.0,-1,
QNTX,bybit,binance,0.9051,0.7956,0.8796,8,8.0,-1,
ZM,bybit,binance,0.8587,0.7492,0.8331,8,8.0,-1,
SKHYNIX,binance,bitget,0.8403,0.7256,0.8136,4,4,-1,
CSOPSAMSUNG2L,bybit,gate,0.8299,0.7204,0.8043,8,8.0,-1,
ZHIPU,binance,bitget,0.8274,0.7127,0.8006,8,8,-1,
BX,binance,bybit,0.8105,0.7010,0.7849,8.0,8,-1,
SKHYNIX,aster,bitget,0.7858,0.6816,0.7615,4,4,6543073.9,
MRNA,gate,bybit,0.7687,0.6592,0.7431,8.0,8,-1,
MRNA,gate,bitget,0.7687,0.6540,0.7419,8,8,-1,
TRX,hl,bitget,0.7444,0.6349,0.7189,8,1.0,4347734.16042,
BSP,bybit,gate,0.7402,0.6307,0.7146,8,8.0,-1,
