venue,base,pass,ts,ok,mid,spread_bps,n_bid,n_ask,depth_bid_10,depth_bid_25,depth_bid_50,depth_bid_100,depth_ask_10,depth_ask_25,depth_ask_50,depth_ask_100,slip_bid_500,slip_bid_1000,slip_bid_2500,slip_bid_5000,slip_bid_10000,slip_bid_25000,slip_ask_500,slip_ask_1000,slip_ask_2500,slip_ask_5000,slip_ask_10000,slip_ask_25000,fill_bid_500,fill_bid_1000,fill_bid_2500,fill_bid_5000,fill_bid_10000,fill_bid_25000,fill_ask_500,fill_ask_1000,fill_ask_2500,fill_ask_5000,fill_ask_10000,fill_ask_25000,err
aster,AR,1,1788265324,1,2.1935,22.79462,16,15,0,999.9724,10138.8497,11007.0854,0,1291.953,10147.7228,10735.0079,11.397,11.397,19.597,22.336,23.88,376.985,11.397,11.409,19.623,26.908,30.629,205.937,1.0,1.0,1.0,1.0,1.0,0.5779,1.0,1.0,1.0,1.0,1.0,0.523,
aster,FIL,1,1788265324,1,0.698,28.653295,26,23,0,10956.7703,16538.8681,26289.5068,0,12500.1471,13845.5274,17556.2049,14.327,14.327,14.327,14.327,14.327,38.149,14.327,14.327,14.327,14.327,14.327,58.634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
aster,FET,1,1788265324,1,0.1539,25.990903,21,31,0,14710.0057,17112.788,24292.8451,0,4056.6923,6961.8779,7273.9391,12.995,12.995,15.029,17.261,18.377,41.123,13.299,16.396,18.254,20.11,62.326,388.732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
aster,BTW,1,1788265324,1,0.38981,14.365973,221,291,648.14197,3957.91864,18392.20866,26041.09533,2757.19938,13105.0026,17681.30924,44691.21039,7.452,8.91,10.341,16.14,24.796,42.1,7.183,7.183,7.33,11.346,16.071,34.389,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
aster,ICP,1,1788265324,1,2.4325,4.110997,106,81,1013.897,16909.7,30485.944,40740.218,999.963,9993.388,16600.148,25176.536,2.766,4.466,7.929,9.103,12.338,22.782,2.055,2.057,6.989,8.633,10.453,39.661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
aster,KAS,1,1788265324,1,0.027545,25.412961,14,20,0,3057.79971,16554.93111,37959.42318,0,2063.34902,5642.89037,7740.76078,12.706,12.706,14.602,24.408,31.264,45.532,12.706,14.438,19.41,28.765,64.517,288.471,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
aster,KITE,1,1788265324,1,0.120355,0.830875,95,43,1795.28849,8128.96221,11317.47234,14091.78296,999.95088,4144.91513,5759.46875,5759.46875,1.051,2.646,6.96,11.988,17.997,206.465,0.415,0.416,8.733,17.553,257.809,453.929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5524,
aster,LDO,1,1788265324,1,0.3707,21.580793,51,33,0,16227.0327,17048.0292,17133.1732,0,8673.3801,8718.7397,9550.4759,10.79,10.79,10.79,12.338,15.61,202.961,10.79,10.79,11.0,13.441,26.75,313.991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6753,
aster,MAGMA,1,1788265324,1,0.346685,4.326694,112,131,572.07161,2412.27996,8983.24086,13478.30513,771.00327,2500.32586,8620.40412,14720.86743,4.875,8.348,14.536,23.314,32.862,122.909,8.33,9.452,15.425,23.94,33.446,100.907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
aster,MORPHO,1,1788265324,1,2.55895,15.240626,20,20,999.787,2899.69965,2899.69965,3003.00635,999.77536,2801.82327,2907.06207,3133.2284,7.62,7.62,14.604,115.741,201.112,353.299,7.62,7.631,16.802,116.961,204.856,553.525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
aster,ONDO,1,1788265324,1,0.34775,8.626887,101,225,2263.95158,36401.36645,57917.33692,69661.58377,204.35646,15471.58114,17307.78512,31296.91122,6.017,6.603,7.224,8.645,9.355,9.781,7.715,8.89,9.595,10.752,13.165,38.748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
aster,POWER,1,1788265324,1,0.082415,37.614512,32,16,0,1118.12086,1188.17775,1265.42527,0,118.57052,118.57052,258.61679,19.733,19.877,279.638,1362.566,1362.566,1362.566,155.988,300.807,1089.546,1089.546,1089.546,1089.546,1.0,1.0,1.0,0.7577,0.3789,0.1515,1.0,1.0,0.8414,0.4207,0.2103,0.0841,
aster,RIVER,1,1788265324,1,1.354,14.771049,85,176,1340.823,4998.6502,10949.793,23243.6816,2892.7895,19109.9308,39841.4353,96532.7661,7.386,7.386,10.807,15.501,25.857,52.332,7.386,7.386,7.386,10.501,12.636,18.631,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
aster,SPX,1,1788265324,1,0.58785,25.516713,20,14,0,2851.9458,14271.8972,14271.8972,0,476.766,5392.8332,5392.8332,12.758,12.758,16.742,21.312,23.839,838.3,13.488,20.778,25.152,26.935,306.094,925.136,1.0,1.0,1.0,1.0,1.0,0.9864,1.0,1.0,1.0,1.0,1.0,0.5199,
aster,TAO,1,1788265324,1,226.335,5.743699,99,97,9939.80902,69787.3073,114617.32161,154747.38709,20049.12239,73666.1905,97686.25597,150335.49548,3.093,4.517,5.907,6.588,7.895,10.464,3.181,3.247,3.287,3.587,4.72,7.668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
aster,UAI,1,1788265324,1,0.42265,16.562167,42,56,880.4955,17539.6119,37670.5276,78003.3309,2899.242,11805.8766,40935.2514,91151.4202,8.281,8.562,9.813,11.387,14.024,22.584,8.281,8.281,8.281,11.224,15.422,24.145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
aster,USELESS,1,1788265324,1,0.102475,22.444499,64,54,0,17742.90564,23172.57663,56579.46719,0,1263.28549,2479.35986,5318.73133,12.225,14.651,16.168,19.309,21.121,29.035,11.787,15.268,27.111,45.717,108.47,162.539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
aster,WIF,1,1788265324,1,0.1996,20.04008,29,23,0,8585.65292,21082.42325,49200.7457,0,4654.68378,7546.97758,7546.97758,10.02,10.02,12.815,16.428,18.935,26.482,10.02,10.02,15.735,18.596,43.471,117.19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
aster,XMR,1,1788265324,1,522.265,6.318631,324,192,6898.65095,36076.23749,53388.18221,96979.02463,9875.0762,36330.63738,70802.4782,122848.54499,3.159,3.159,3.178,4.085,6.504,12.825,3.159,3.159,3.196,4.364,6.491,10.261,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
aster,ZEN,1,1788265324,1,5.712,150.560224,14,12,0,0,0,19280.81,0,0,0,1358.619,75.28,75.28,77.149,82.598,89.443,412.29,76.98,79.95,176.997,798.733,798.733,798.733,1.0,1.0,1.0,1.0,1.0,0.9929,1.0,1.0,1.0,0.9733,0.4867,0.1947,
aster,ZRO,1,1788265324,1,1.0178,13.755158,119,248,419.17992,3578.00533,18018.72205,40539.49546,757.12538,4899.75149,5278.37831,6105.62187,9.2,12.601,17.167,20.651,23.589,33.445,7.585,8.781,14.628,17.454,120.845,295.624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
aster,龙虾,1,1788265324,1,0.061979,7.421869,230,64,5.947776,3088.094443,4578.216541,5485.929111,1501.06842,4531.707488,7531.790858,10813.708198,17.9,17.985,18.345,30.032,166.034,369.658,3.711,3.711,7.646,14.829,30.646,290.072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binance,AR,1,1788265324,1,2.1935,4.558924,533,1000,1773.6611,17324.1511,46885.1412,106306.9912,1308.0937,8969.235,46873.9438,84405.9939,2.279,3.507,6.829,9.113,11.902,18.645,4.312,5.575,8.508,12.315,16.892,25.035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binance,FET,1,1788265324,1,0.15385,6.499838,601,1000,29440.3595,116859.038,235492.5676,436833.4854,43857.9267,129957.3703,223315.9157,329478.5283,3.25,3.25,5.259,7.505,8.627,9.301,3.25,3.25,3.25,3.25,3.25,6.284,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binance,FIL,1,1788265324,1,0.69795,1.432767,1000,1000,60857.31263,175218.17371,453140.82378,918047.55298,82083.08509,223584.75542,408939.05467,870585.43318,0.716,0.846,1.628,2.054,2.818,4.438,0.716,1.271,1.798,1.974,2.649,3.587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binance,KITE,1,1788265324,1,0.120265,0.831497,1000,1000,1476.15337,11230.89572,25854.81057,63039.28574,1558.01147,8689.13617,27127.51071,55461.69988,3.507,5.2,8.018,11.281,16.107,27.239,4.19,5.128,8.141,11.532,16.939,28.042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binance,KAS,1,1788265324,1,0.027525,3.633061,404,1000,2886.49695,14986.32429,38151.42382,71758.50283,3454.65196,12539.01549,31623.90935,71398.22288,3.242,4.346,7.155,10.057,13.838,22.588,4.706,5.078,7.398,9.365,13.788,25.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binance,LDO,1,1788265324,1,0.37065,2.697963,1000,1000,7452.958,42727.6724,155805.9084,342934.0166,14356.2217,54018.1705,149111.5939,288359.8735,3.993,4.589,5.883,7.361,9.088,11.965,1.349,2.554,3.45,4.801,6.481,9.756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binance,MAGMA,1,1788265324,1,0.34649,0.577217,1000,1000,887.58022,4328.81404,9706.95075,14175.8749,1151.99811,6134.63729,8503.80075,31535.64064,3.138,5.942,10.649,16.036,28.057,73.567,1.53,4.67,8.497,12.876,25.858,57.184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binance,ONDO,1,1788265324,1,0.34765,2.876456,1000,1000,51119.87426,287850.88697,574210.08037,1198598.48313,38806.70251,256169.88102,495740.00596,928755.0874,1.515,2.915,3.755,4.035,4.175,4.621,1.438,1.438,1.438,1.438,1.438,3.415,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binance,POWER,1,1788265324,1,0.082455,6.063914,865,1000,136.46949,1190.0969,4613.11688,10316.85979,211.28801,9726.35159,13414.76531,35102.11565,11.975,16.541,23.852,34.703,58.363,103.491,8.37,9.339,9.921,10.115,13.343,41.433,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binance,RIVER,1,1788265324,1,1.3545,7.382798,504,1000,189.0184,10896.0661,40566.721,93288.532,3109.0475,15694.6208,41640.5369,80034.9741,8.282,9.678,10.516,10.83,14.644,23.9,3.691,3.691,3.691,6.485,8.788,17.343,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binance,RUNE,1,1788265324,1,0.48055,2.080949,623,1000,3504.7555,14654.9563,42422.5236,129233.6435,5760.3577,21162.3077,49062.4962,113416.5803,1.04,1.04,3.501,7.054,11.137,21.332,2.624,3.913,4.953,6.282,9.495,16.281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binance,TAO,1,1788265324,1,226.125,0.442233,1000,1000,53905.76589,232197.68751,852865.98233,1844583.99726,59909.74355,294667.45225,819306.52626,1767016.24281,0.434,0.549,1.16,1.742,2.516,4.1,0.221,0.358,0.961,1.769,2.816,4.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binance,UAI,1,1788265324,1,0.42265,2.366024,1000,1000,2616.0562,13840.9082,24084.2124,57070.7189,4584.6508,14738.1885,29898.8219,64820.5951,1.183,2.178,5.272,8.136,12.042,24.937,2.461,3.005,3.944,6.295,9.413,21.934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binance,USELESS,1,1788265324,1,0.102385,2.930117,1000,1000,6199.77622,28687.0027,80386.90199,204127.88408,5945.26298,25982.88564,64347.59442,142260.66649,1.552,1.997,3.757,5.576,8.183,14.479,2.238,3.108,4.725,6.386,8.666,14.533,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binance,WIF,1,1788265324,1,0.19945,5.013788,728,1000,7468.07933,67560.05234,168727.28537,323380.91026,12319.08179,58017.67599,151531.11159,304169.08242,6.536,7.028,7.324,7.422,8.738,11.762,2.507,2.507,3.726,5.623,6.572,9.786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binance,XMR,1,1788265324,1,522.425,0.191415,1000,1000,9455.95139,45560.65294,146978.28272,374952.22518,18325.86624,94102.90957,282414.28419,461772.21329,0.743,1.375,3.383,5.042,7.283,11.518,1.963,2.456,3.103,3.703,4.733,7.876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binance,ZEC,1,1788265324,1,857.975,0.116554,1000,1000,163071.04466,815413.77928,2352820.61092,5447942.45335,349520.86881,1160940.64801,2880129.65528,5852093.5273,0.058,0.058,0.058,0.112,0.484,1.346,0.058,0.058,0.102,0.189,0.444,0.811,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binance,ZRO,1,1788265324,1,1.01675,2.950578,1000,1000,9893.17343,44809.87562,103374.76635,206300.0018,3136.8918,35643.75445,64514.11433,104781.92387,3.842,4.557,5.649,6.439,7.735,10.975,1.943,2.659,5.102,8.05,11.038,14.181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binance,龙虾,1,1788265324,1,0.061935,3.87503,1000,1000,1161.246551,6978.663869,14275.162637,37305.262904,788.096226,10365.084404,16492.011529,37562.736072,5.816,7.421,9.886,12.826,19.502,42.336,5.558,7.589,9.864,12.208,16.211,37.591,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
bitget,AR,1,1788265324,1,2.1915,4.563085,100,100,337.0638,1835.7677,13990.2036,46119.8672,357.442,1812.6124,11566.5116,36820.8748,7.874,10.781,17.368,23.555,32.42,45.517,7.808,10.994,17.954,25.875,30.049,49.347,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
bitget,BTW,1,1788265324,1,0.390454,5.634467,100,100,167.005685,1659.107803,6586.824908,14392.484972,169.203698,3884.178165,7041.679352,16793.449977,11.291,14.503,19.3,23.265,39.592,54.829,12.569,14.141,16.857,21.955,38.184,58.614,1.0,1.0,1.0,1.0,1.0,0.6202,1.0,1.0,1.0,1.0,1.0,0.6736,
binance,ZEN,1,1788265324,1,5.6705,1.763513,1000,1000,3474.5566,18609.1152,41284.2446,197680.8732,6156.4998,24750.2899,75173.9529,161292.2462,1.599,3.741,6.585,8.691,11.106,18.057,1.613,2.492,3.789,5.779,8.418,14.685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
bitget,FET,1,1788265324,1,0.15375,6.504065,100,100,17734.1403,52162.4193,149504.049,254993.3898,15294.3615,48831.8928,169114.0707,254552.4878,3.252,3.252,3.252,5.565,7.661,10.804,3.252,3.252,4.565,7.16,8.458,11.766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
bitget,FIL,1,1788265324,1,0.69805,1.432562,100,100,185105.57215,327402.81057,497630.8274,1258404.54204,14352.05266,296487.25522,712356.75597,1231508.75989,0.716,0.716,0.716,1.151,4.015,6.334,2.014,2.798,5.119,6.499,7.761,9.568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
bitget,KAS,1,1788265324,1,0.027525,10.899183,100,100,3472.01238,35000.20109,60941.97047,101763.50541,4359.45085,22973.56634,60028.58886,110433.69949,5.45,7.159,8.313,9.806,11.261,15.621,5.45,5.45,7.185,8.602,11.296,16.524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
bitget,LDO,1,1788265325,1,0.3702,5.402485,100,100,4423.98668,31033.15644,85973.50538,156482.44204,591.95315,30158.17502,66718.22586,143399.31017,4.341,6.058,7.285,8.004,10.301,14.816,5.987,8.148,9.742,11.251,12.379,13.707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
