venue,base,pass,ts,ok,mid,spread_bps,n_bid,n_ask,depth_bid_10,depth_bid_25,depth_bid_50,depth_bid_100,depth_ask_10,depth_ask_25,depth_ask_50,depth_ask_100,slip_bid_500,slip_bid_1000,slip_bid_2500,slip_bid_5000,slip_bid_10000,slip_bid_25000,slip_ask_500,slip_ask_1000,slip_ask_2500,slip_ask_5000,slip_ask_10000,slip_ask_25000,fill_bid_500,fill_bid_1000,fill_bid_2500,fill_bid_5000,fill_bid_10000,fill_bid_25000,fill_ask_500,fill_ask_1000,fill_ask_2500,fill_ask_5000,fill_ask_10000,fill_ask_25000,window,session,err
aster,AR,1,1788269837,1,2.2155,22.568269,15,17,0,10156.0411,10449.3514,11618.4727,0,11012.1597,11307.7293,11900.4633,11.284,11.284,17.809,21.317,23.071,445.725,11.284,11.284,11.931,16.824,20.825,498.758,1.0,1.0,1.0,1.0,1.0,0.6725,1.0,1.0,1.0,1.0,1.0,1.0,W1now,eu,
aster,BTW,1,1788269837,1,0.39069,7.678722,257,261,226.42262,5577.54652,18728.94402,45750.51637,8257.19386,20634.17615,26746.98627,37241.44326,9.646,12.109,15.185,18.114,24.29,37.694,3.839,3.839,3.986,4.308,6.964,18.658,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,W1now,eu,
aster,FET,1,1788269837,1,0.1532,26.109661,20,31,0,14511.1598,16084.8542,35257.391,0,5629.9154,6463.4305,6953.6323,13.055,13.055,13.055,15.542,17.562,36.903,13.36,16.471,18.338,18.96,73.625,440.291,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,W1now,eu,
aster,FIL,1,1788269837,1,0.6965,14.357502,23,23,10477.3056,13677.9196,14344.3678,15334.4972,1285.7559,10735.7685,13408.2552,15427.7661,7.179,7.179,7.179,7.179,7.179,104.729,7.179,7.179,14.157,17.847,19.692,58.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,W1now,eu,
aster,ICP,1,1788269837,1,2.428,8.237232,101,95,1016.742,19191.342,34908.289,52359.917,12558.587,18304.837,21508.111,41711.6,4.119,5.757,9.688,11.022,14.445,23.529,4.119,4.119,4.119,4.119,6.154,21.484,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,W1now,eu,
aster,LDO,1,1788269837,1,0.3676,21.762786,47,29,0,16743.6409,32009.2065,48694.259,0,6365.4028,6365.4028,7014.714,10.881,10.881,11.943,13.97,16.506,27.945,10.881,10.881,11.114,14.771,138.613,492.684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8741,W1now,eu,
aster,KAS,1,1788269837,1,0.02727,36.670334,13,20,0,3213.92759,16068.79387,27568.07082,0,2020.51347,5600.04418,7702.14654,18.335,18.335,18.335,24.031,28.517,51.514,18.335,18.335,22.131,29.401,68.618,303.427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,W1now,eu,
aster,KITE,1,1788269837,1,0.12015,6.658344,78,47,1831.58298,7680.61402,12487.91988,14985.9776,999.9808,3727.50016,6478.56994,6478.56994,3.329,3.708,7.335,10.573,16.87,209.585,3.329,3.332,12.284,19.455,231.836,443.831,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5643,W1now,eu,
aster,MAGMA,1,1788269837,1,0.34961,6.864792,98,160,600.60732,2218.97253,5618.74911,9564.21285,2159.57567,4064.97465,8998.24949,14142.25673,5.666,8.216,15.511,27.822,47.896,186.375,3.435,4.063,6.051,15.048,29.12,99.302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,W1now,eu,
aster,POWER,1,1788269837,1,0.08249,24.245363,32,16,0,1118.24048,1188.24932,1258.28586,0,118.59924,118.59924,265.65952,13.048,13.191,283.659,1375.92,1375.92,1375.92,139.157,261.566,1017.148,1017.148,1017.148,1017.148,1.0,1.0,1.0,0.7571,0.3785,0.1514,1.0,1.0,0.8521,0.426,0.213,0.0852,W1now,eu,
