venue,base,pass,ts,ok,mid,spread_bps,n_bid,n_ask,depth_bid_10,depth_bid_25,depth_bid_50,depth_bid_100,depth_ask_10,depth_ask_25,depth_ask_50,depth_ask_100,slip_bid_500,slip_bid_1000,slip_bid_2500,slip_bid_5000,slip_bid_10000,slip_bid_25000,slip_ask_500,slip_ask_1000,slip_ask_2500,slip_ask_5000,slip_ask_10000,slip_ask_25000,fill_bid_500,fill_bid_1000,fill_bid_2500,fill_bid_5000,fill_bid_10000,fill_bid_25000,fill_ask_500,fill_ask_1000,fill_ask_2500,fill_ask_5000,fill_ask_10000,fill_ask_25000,err
bingx,INJ,1,1788313114,1,4.744,8.431703,268,347,843.722,933665.656,1771506.064,5632386.28,778767.004,1194015.124,2025919.637,5436201.539,8.392,8.74,9.82,10.18,10.36,10.468,4.216,4.216,4.216,4.216,4.216,4.216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
backpack,AAVE,1,1788313114,1,92.34,7314.273338,50,44,166574.6975,166574.6975,166574.6975,166574.6975,0,0,0,0,3657.137,3565.155,3142.872,2340.387,1242.751,190.424,3657.137,3657.137,3657.653,3658.822,3662.25,3670.428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
nado,LINK,1,1788313114,1,11.1215,0.899159,70,64,63057.7594,188389.7313,477821.9468,597032.8534,62503.5714,121592.4596,483237.8447,594279.1336,0.45,0.45,1.259,1.753,2.27,5.233,0.949,1.149,1.269,1.309,2.463,5.737,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
okx,AAVE,1,1788313114,1,126.075,0.793179,400,400,470549.794,1946368.823,4001158.91,9125998.861,476017.916,2947225.331,5407903.806,7317579.736,0.397,0.397,1.295,1.639,1.811,1.946,0.397,0.397,0.397,0.397,0.397,0.619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
okx,INJ,1,1788313114,1,4.7415,2.109037,400,400,103538.209,654905.692,2079272.744,3691326.69,65330.863,828108.062,1909717.201,3338236.412,1.055,1.704,2.58,2.872,3.018,3.787,2.344,2.754,3.0,3.082,3.123,4.374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
okx,LINK,1,1788313114,1,11.1165,0.899564,400,400,96884.5665,363273.5688,759030.0382,1032884.0741,56236.4573,203903.7575,656207.5271,1004605.6071,0.45,0.45,0.925,1.137,1.91,3.4,0.45,0.45,0.748,1.323,1.952,3.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
dydx,XAG,1,1788313114,1,64.235,188.370826,22,19,0,0,0,12000.618,0,0,0,1796.068,94.185,94.185,94.185,94.185,94.185,102.209,94.185,94.185,122.908,583.362,1125.728,1451.147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
backpack,AAVE,2,1788313159,1,92.29,7307.400585,48,47,165841.7274,165841.7274,165841.7274,165841.7274,0,0,0,0,3653.7,3561.484,3138.731,2335.048,1237.412,184.527,3653.7,3653.7,3653.743,3654.61,3657.327,3666.101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
nado,LINK,2,1788313159,1,11.1155,0.899645,68,67,63076.6017,183311.4651,472679.5782,591720.3823,61003.5799,190234.5293,301035.2077,582886.8687,0.45,0.45,1.53,2.744,4.251,5.726,0.949,1.149,1.269,1.309,2.31,4.955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
bingx,INJ,2,1788313159,1,4.7425,14.760148,267,349,519602.916,1171564.977,1983981.417,5929538.88,267726.606,1182915.463,1935799.371,6084303.939,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
okx,INJ,2,1788313159,1,4.7415,2.109037,400,400,194354.9,707188.859,2130523.958,3885417.102,124188.668,797399.434,1849862.663,3265215.268,1.904,2.534,2.912,3.038,3.101,3.568,1.055,1.055,1.055,1.055,1.994,2.696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
okx,AAVE,2,1788313159,1,125.975,0.793808,400,400,660937.091,2931386.235,5480440.916,9122188.304,536136.59,2789547.81,3794682.507,7227766.458,0.397,0.397,0.397,1.019,1.502,2.186,0.397,0.397,0.397,0.397,0.438,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
okx,LINK,2,1788313159,1,11.1115,0.899969,400,400,92196.829,330811.8809,802290.9425,1042487.9151,55689.8373,228910.088,663514.4935,1045219.0667,0.45,0.45,0.971,1.16,1.255,1.562,0.45,0.45,0.921,1.568,2.311,3.847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
dydx,XAG,2,1788313159,1,63.71,31.392246,18,14,0,11996.846,41998.97,45058.292,0,12002.661,42000.317,42000.317,15.696,15.696,15.696,15.696,15.696,23.848,15.696,15.696,15.696,15.696,15.696,24.685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
backpack,AAVE,3,1788313204,1,92.25,7301.897019,52,46,172509.4136,172509.4136,172509.4136,172509.4136,0,0,0,0,3650.949,3558.544,3135.416,2330.773,1233.137,179.805,3650.949,3650.949,3650.949,3651.431,3655.372,3665.489,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
bingx,INJ,3,1788313204,1,4.7425,14.760148,265,349,171319.589,839650.78,1440228.379,4939525.97,277275.558,1283941.44,1998841.818,5663351.741,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
