coin,short_venue,long_venue,net_apr,exec_depth_usd,exec_status,hold_days,oi_short_usd,universe_legs,ts
VANA,bitget,aster,124.2,0,executable,30.0,273296,2,2026-09-02T19:55:31+00:00
1000SATS,binance,bitget,118.5,46,executable,30.0,1757450,2,2026-09-02T19:55:31+00:00
牛来,bitget,binance,113.9,44,executable,30.0,1018048,2,2026-09-02T19:55:31+00:00
NVDL,bitget,binance,95.1,53,executable,30.0,124317,2,2026-09-02T19:55:31+00:00
PHA,bitget,aster,91.8,0,executable,30.0,446570,2,2026-09-02T19:55:31+00:00
ZAMA,binance,aster,88.8,0,executable,30.0,6645458,2,2026-09-02T19:55:31+00:00
FIGHT,binance,bybit,86.1,8,executable,30.0,3206854,2,2026-09-02T19:55:31+00:00
CP,okx,bingx,77.6,37,executable,30.0,1121662,2,2026-09-02T19:55:31+00:00
POLYX,bybit,aster,55.9,0,executable,30.0,532099,2,2026-09-02T19:55:31+00:00
M,binance,bingx,50.4,54,executable,30.0,5573539,2,2026-09-02T19:55:31+00:00
GIGGLE,bingx,aster,46.7,0,executable,30.0,5495301,2,2026-09-02T19:55:31+00:00
1000XEC,binance,bybit,36.3,27,executable,30.0,1210662,2,2026-09-02T19:55:31+00:00
POET,okx,bitget,10.2,47,executable,30.0,150651,2,2026-09-02T19:55:31+00:00
MOVE,whitebit,aster,267.4,0,executable,30.0,386035,1,2026-09-02T19:55:31+00:00
XIAOMIHKD,kucoin,bitget,201.3,133,executable,30.0,21191,1,2026-09-02T19:55:31+00:00
SLP,mexc,aster,201.0,0,executable,30.0,261277,1,2026-09-02T19:55:31+00:00
B,bybit,gate_io,152.5,0,executable,30.0,929347,1,2026-09-02T19:55:31+00:00
AIO,gate_io,bybit,138.8,0,executable,30.0,690012,1,2026-09-02T19:55:31+00:00
LIGHT,kucoin,aster,138.2,0,executable,30.0,3155790,1,2026-09-02T19:55:31+00:00
RED,mexc,aster,131.3,0,executable,30.0,330096,1,2026-09-02T19:55:31+00:00
BONER,bingx,gate_io,125.9,0,executable,30.0,929198,1,2026-09-02T19:55:31+00:00
IONQ,bybit,htx,121.2,38,executable,30.0,470051,1,2026-09-02T19:55:31+00:00
ONT,whitebit,bybit,110.7,0,executable,30.0,774916,1,2026-09-02T19:55:31+00:00
MCD,bybit,gate_io,110.6,0,executable,30.0,286442,1,2026-09-02T19:55:31+00:00
RVN,whitebit,okx,106.4,0,executable,30.0,374471,1,2026-09-02T19:55:31+00:00
XPIN,bybit,kucoin,98.5,5,executable,30.0,2460818,1,2026-09-02T19:55:31+00:00
UP,mexc,aster,98.4,0,executable,30.0,9774558,1,2026-09-02T19:55:31+00:00
JCT,gate_io,bybit,80.1,0,executable,30.0,385541,1,2026-09-02T19:55:31+00:00
BLUAI,bybit,kucoin,77.8,9,executable,30.0,1731646,1,2026-09-02T19:55:31+00:00
PTB,gate_io,binance,75.1,0,executable,30.0,1066364,1,2026-09-02T19:55:31+00:00
LONGXIA,kucoin,bingx,72.4,28,executable,30.0,1003241,1,2026-09-02T19:55:31+00:00
ZIL,whitebit,okx,63.1,0,executable,30.0,471771,1,2026-09-02T19:55:31+00:00
LUMIA,bitget,mexc,59.1,0,executable,30.0,2441105,1,2026-09-02T19:55:31+00:00
RPL,bybit,gate_io,58.9,0,executable,30.0,410008,1,2026-09-02T19:55:31+00:00
BROCCOLIF3B,gate_io,bingx,49.9,0,executable,30.0,1037839,1,2026-09-02T19:55:31+00:00
REDSTONE,bingx,kucoin,33.0,2406,executable,30.0,939291,1,2026-09-02T19:55:31+00:00
AIN,mexc,bitget,29.2,0,executable,30.0,3600680,1,2026-09-02T19:55:31+00:00
SOLV,gate_io,aster,25.5,0,executable,30.0,90587,1,2026-09-02T19:55:31+00:00
NEWT,whitebit,binance,25.5,0,executable,30.0,224932,1,2026-09-02T19:55:31+00:00
BULLA,gate_io,aster,25.5,0,executable,30.0,746477,1,2026-09-02T19:55:31+00:00
NG,gate_io,okx,23.2,0,executable,30.0,1264656,1,2026-09-02T19:55:31+00:00
PIEVERSE,gate_io,bitget,22.1,0,executable,30.0,3910598,1,2026-09-02T19:55:31+00:00
WAL,gate_io,bybit,16.6,0,executable,30.0,264704,1,2026-09-02T19:55:31+00:00
ARKK,mexc,bybit,12.8,0,executable,30.0,136350,1,2026-09-02T19:55:31+00:00
