did,ts,pos_id,pair,hours_held,assumed_rt_pct,entry_cost_pct,exit_cost_pct,realized_rt_pct,drift_ratio,exit_detail,live_spread_apr,accrual_usd,accrual_hours,accrual_total_usd,kill_flag
1,2026-09-02T09:15:22Z,1,INJ bingx->okx,6.5984581675,0.377,0.19304462713184548,0.20293994748731914,0.3959845746191647,1.0503569618545483,exit slip short 9.3 long 1.0 + fee 10bps,0.0479586606482415,0.009031199088377568,6.5984581675,0.009031199088377568,0
2,2026-09-02T13:03:08Z,1,INJ bingx->okx,10.394614993333333,0.377,0.19304462713184548,0.18388822056300105,0.3769328476948466,0.9998218771746594,exit slip short 7.3 long 1.0 + fee 10bps,0.026453612264563494,0.00286602063586511,3.79628166,0.011897219724242677,0
3,2026-09-02T15:51:18Z,1,INJ bingx->okx,13.197389275,0.377,0.19304462713184548,0.184064521143646,0.37710914827549147,1.0002895179721258,exit slip short 7.4 long 1.1 + fee 10bps,0.124077364079481,0.009925285566082786,2.8029448305555555,0.021822505290325464,0
4,2026-09-02T15:54:15Z,1,INJ bingx->okx,13.246354837777778,0.377,0.19304462713184548,0.18400934644512418,0.3770539735769697,1.0001431659866569,exit slip short 7.4 long 1.1 + fee 10bps,0.124077364079481,0.00017397960697670771,0.04913261555555556,0.02199648489730217,0
5,2026-09-02T15:54:15Z,2,UAI aster->binance,0.0030215044444444443,0.243,0.08088348270211945,0.18348863924314024,0.2643721219452597,1.0879511191162952,exit slip short 4.8 long 4.5 + fee 9bps,0.46336020000000017,6.392899103555558e-05,0.0030215044444444443,6.392899103555558e-05,0
6,2026-09-02T19:50:20Z,1,INJ bingx->okx,17.181078737777778,0.377,0.19304462713184548,0.18445500296731343,0.37749963009915893,1.00132527877761,exit slip short 7.4 long 1.1 + fee 10bps,0.004847930378614487,0.0005444192093659213,3.9349676266666664,0.02254090410666809,0
7,2026-09-02T19:50:20Z,2,UAI aster->binance,3.937745404444444,0.243,0.08088348270211945,0.19574446595266318,0.27662794865478263,1.1383866199785293,exit slip short 7.1 long 3.5 + fee 9bps,0.3550427999999999,0.06378919183018664,3.9346898488888886,0.06385312082122219,0
8,2026-09-03T04:57:17Z,1,INJ bingx->okx,26.2969457025,0.377,0.19304462713184548,0.2419725057804683,0.4350171329123138,1.1538915992369065,exit slip short 12.1 long 2.1 + fee 10bps,0.025184999999999985,0.0065522057653385375,9.116112369166666,0.02909310987200663,0
9,2026-09-03T04:57:17Z,2,UAI aster->binance,13.053612369166666,0.243,0.08088348270211945,0.2043209825216726,0.28520446522379206,1.1736809268468809,exit slip short 6.6 long 4.9 + fee 9bps,0.0,0.0,9.115834591388888,0.06385312082122219,0
10,2026-09-03T21:02:37Z,1,INJ bingx->okx,42.38539031027778,0.377,0.19304462713184548,0.11980198039214444,0.3128466075239899,0.8298318501962597,exit slip short 1.0 long 1.0 + fee 10bps,0.01676192246942551,0.007696155315543598,16.088445865833332,0.03678926518755023,0
11,2026-09-03T21:02:38Z,2,UAI aster->binance,29.142056976944446,0.243,0.08088348270211945,0.23391774375028057,0.31480122645240005,1.2954782981580248,exit slip short 11.5 long 2.9 + fee 9bps,0.8405219999999999,0.6174745523306833,16.088445865833332,0.6813276731519055,0
12,2026-09-04T10:20:37Z,1,INJ bingx->okx,55.68544070944445,0.377,0.19304462713184548,0.12195412559191067,0.31499875272375616,0.8355404581531993,exit slip short 1.0 long 1.2 + fee 10bps,0.2705157530059245,0.10267560799177641,13.299607376111112,0.13946487317932665,0
13,2026-09-04T10:20:39Z,2,UAI aster->binance,42.44210737611111,0.243,0.08088348270211945,0.2775792320328177,0.3584627147349372,1.4751552046705234,exit slip short 14.0 long 4.7 + fee 9bps,1.6051167000000002,0.9747477642506451,13.299329598333333,1.6560754374025506,0
14,2026-09-08T09:44:14Z,1,INJ bingx->okx,151.0792450952778,0.377,0.19304462713184548,0.12380259875972455,0.31684722589157005,0.8404435700041646,exit slip short 1.6 long 0.8 + fee 10bps,-0.021900000000000003,-0.059621055962326384,95.39368953972222,0.07984381721700026,0
