kind,check_name,coin,detail,entry_cost_pct,fee_bps,fill_id,fill_px,leg,long_venue,median_apr,notional_usd,pair,passed,pos_id,reason_close,reason_open,short_venue,side,simulated,size_usd,slip_bps,status,style,tid,ts,ts_close,ts_open,venue
position,,INJ,,0.19304462713184548,,,,,okx,0.187,,INJ bingx->okx,,1,,P0 paper basket,bingx,,,250.0,,open,,,,,2026-09-02T02:39:28Z,
position,,UAI,,0.08088348270211945,,,,,binance,0.48684,,UAI aster->binance,,2,,P0 paper basket,aster,,,400.0,,open,,,,,2026-09-02T15:54:04Z,
fill,,,,,5.0,1,4.833,short,,,250.0,,,1,,,,sell,1,,7.236638064715883,,taker,,2026-09-02T02:39:28Z,,,bingx
fill,,,,,5.0,2,4.837,long,,,250.0,,,1,,,,buy,1,,2.0678246484686635,,taker,,2026-09-02T02:39:28Z,,,okx
fill,,,,,0.0,3,0.5198,short,,,400.0,,,2,,,,sell,1,,0.0,,maker,,2026-09-02T15:54:04Z,,,aster
fill,,,,,5.0,4,0.51901023895,long,,,400.0,,,2,,,,buy,1,,3.0883482702119456,,taker,,2026-09-02T15:54:04Z,,,binance
tripwire,identity-marks,,short mid 507.3 vs long mid 508.8 dev 0.30%,,,,,,,,,XMR dydx->binance,1,,,,,,,,,,,1,2026-09-02T02:39:15Z,,,
tripwire,identity-marks,,short mid 515.1 vs long mid 508.6 dev 1.27%,,,,,,,,,XMR dydx->binance,1,,,,,,,,,,,2,2026-09-02T02:39:28Z,,,
tripwire,depth-25bps@size,,worst slip 148.0bps (sell 148.0/148.0 buy 0.2/0.1),,,,,,,,,XMR dydx->binance,0,,,,,,,,,,,3,2026-09-02T02:39:28Z,,,
tripwire,identity-marks,,short mid 0.4459 vs long mid 0.4463 dev 0.07%,,,,,,,,,BTW aster->bitget,1,,,,,,,,,,,4,2026-09-02T02:39:28Z,,,
tripwire,depth-25bps@size,,worst slip 13.6bps (sell 6.0/4.1 buy 13.6/6.2),,,,,,,,,BTW aster->bitget,1,,,,,,,,,,,5,2026-09-02T02:39:28Z,,,
tripwire,live-spread>=40%median,,live -1.8% vs median 86.6%,,,,,,,,,BTW aster->bitget,0,,,,,,,,,,,6,2026-09-02T02:39:28Z,,,
tripwire,identity-marks,,short mid 4.837 vs long mid 4.836 dev 0.01%,,,,,,,,,INJ bingx->okx,1,,,,,,,,,,,7,2026-09-02T02:39:28Z,,,
tripwire,depth-25bps@size,,worst slip 7.2bps (sell 7.2/7.2 buy 2.1/2.1),,,,,,,,,INJ bingx->okx,1,,,,,,,,,,,8,2026-09-02T02:39:28Z,,,
tripwire,live-spread>=40%median,,live 10.8% vs median 18.7%,,,,,,,,,INJ bingx->okx,1,,,,,,,,,,,9,2026-09-02T02:39:28Z,,,
tripwire,identity-marks,,short mid 11.19 vs long mid 11.18 dev 0.04%,,,,,,,,,LINK nado->okx,1,,,,,,,,,,,10,2026-09-02T02:39:29Z,,,
tripwire,depth-25bps@size,,worst slip 2.1bps (sell 0.4/0.6 buy 2.1/0.4),,,,,,,,,LINK nado->okx,1,,,,,,,,,,,11,2026-09-02T02:39:29Z,,,
tripwire,live-spread>=40%median,,live 5.0% vs median 13.5%,,,,,,,,,LINK nado->okx,0,,,,,,,,,,,12,2026-09-02T02:39:29Z,,,
tripwire,identity-marks,,short mid 524.1 vs long mid 520.4 dev 0.71%,,,,,,,,,XMR dydx->binance,1,,,,,,,,,,,13,2026-09-02T09:15:59Z,,,
tripwire,depth-25bps@size,,worst slip 78.7bps (sell 78.7/78.7 buy 0.1/0.1),,,,,,,,,XMR dydx->binance,0,,,,,,,,,,,14,2026-09-02T09:15:59Z,,,
tripwire,identity-marks,,short mid 0.447 vs long mid 0.4477 dev 0.14%,,,,,,,,,BTW aster->bitget,1,,,,,,,,,,,15,2026-09-02T09:15:59Z,,,
tripwire,depth-25bps@size,,worst slip 14.6bps (sell 5.6/6.2 buy 9.5/14.6),,,,,,,,,BTW aster->bitget,1,,,,,,,,,,,16,2026-09-02T09:15:59Z,,,
tripwire,live-spread>=40%median,,live 0.0% vs median 86.6%,,,,,,,,,BTW aster->bitget,0,,,,,,,,,,,17,2026-09-02T09:15:59Z,,,
tripwire,duplicate,,already open,,,,,,,,,INJ bingx->okx,0,,,,,,,,,,,18,2026-09-02T09:15:59Z,,,
tripwire,identity-marks,,short mid 11.11 vs long mid 11.11 dev 0.05%,,,,,,,,,LINK nado->okx,1,,,,,,,,,,,19,2026-09-02T09:16:00Z,,,
tripwire,depth-25bps@size,,worst slip 1.3bps (sell 0.4/0.4 buy 0.5/1.3),,,,,,,,,LINK nado->okx,1,,,,,,,,,,,20,2026-09-02T09:16:00Z,,,
tripwire,live-spread>=40%median,,live 0.0% vs median 13.5%,,,,,,,,,LINK nado->okx,0,,,,,,,,,,,21,2026-09-02T09:16:00Z,,,
tripwire,identity-marks,,short mid 514.9 vs long mid 509.2 dev 1.13%,,,,,,,,,XMR dydx->binance,1,,,,,,,,,,,22,2026-09-02T13:02:53Z,,,
tripwire,depth-25bps@size,,worst slip 127.5bps (sell 127.5/122.4 buy 0.9/0.1),,,,,,,,,XMR dydx->binance,0,,,,,,,,,,,23,2026-09-02T13:02:53Z,,,
tripwire,identity-marks,,short mid 0.4429 vs long mid 0.4431 dev 0.05%,,,,,,,,,BTW aster->bitget,1,,,,,,,,,,,24,2026-09-02T13:02:53Z,,,
