venue,symbol,market,asset_class,mechanism,rate,interval_h,apr,oi_usd,stale,suspect
paragon,10Y,para:10Y,equity,builder_set,-0.0001107862,1.0,-0.970487112,267554.929,False,False
bitget,AAL,AALUSDT,equity,standard,0.0,8.0,0.0,233256.15709999992,False,False
bybit,AAL,AALUSDT,equity,standard,0.0,8.0,0.0,27970.3296,False,False
gate,AAL,AAL_USDT,equity,standard,0.0,8.0,0.0,20750.592,False,False
aster,AAOI,AAOIUSDT,equity,standard,0.0,8.0,0.0,22983.2140052814,False,False
binance,AAOI,AAOIUSDT,equity,standard,0.00021178,8.0,0.2318991,13481980.777366174,False,False
bitget,AAOI,AAOIUSDT,equity,standard,0.000386,8.0,0.42267,3120408.2051999927,False,False
bybit,AAOI,AAOIUSDT,equity,standard,0.00011346,8.0,0.12423870000000001,710896.5081000001,False,False
gate,AAOI,AAOI_USDT,equity,standard,0.0,8.0,0.0,1188286.899,False,False
hyperliquid,AAOI,xyz:AAOI,equity,builder_set,2.42235e-05,1.0,0.21219786,1876368.8272000002,False,False
lighter,AAOI,AAOI,equity,standard,3.2e-05,8.0,0.03504,0.0,False,False
okx,AAOI,AAOI-USDT-SWAP,equity,standard,0.0002757345183038,8.0,0.301929297542661,3546556.4070000006,False,False
orderly,AAOI,PERP_AAOI_USDC_mythos,equity,standard,9.805e-05,8.0,0.10736475,2337.22784,False,False
paragon,AAOI,para:AAOI,equity,builder_set,4.47371e-05,1.0,0.391896996,407167.96712800005,False,False
apex,AAPL,AAPL-USDT,equity,standard,1.25e-05,1.0,0.1095,624025.3056000001,False,False
aster,AAPL,AAPLUSDT,equity,standard,0.0,8.0,0.0,201680.586218766,False,False
avantis,AAPL,AAPL/USD,equity,funding_plus_borrow,0.0,1.0,0.0,2537.3,False,False
binance,AAPL,AAPLUSDT,equity,standard,0.0,8.0,0.0,20460830.6028,False,False
bitget,AAPL,AAPLUSDT,equity,standard,0.0,8.0,0.0,6990314.513999998,False,False
bybit,AAPL,AAPLUSDT,equity,standard,0.0,8.0,0.0,2192207.1262000003,False,False
coinbase,AAPL,AAPL-PERP,equity,standard,2.6e-05,1.0,0.22776,530044.0785000001,False,False
gate,AAPL,AAPLX_USDT,equity,standard,0.0,8.0,0.0,2010489.6448,False,False
gate,AAPL,AAPL_USDT,equity,standard,0.0,8.0,0.0,0.0,False,False
grvt,AAPL,AAPL_USDT_Perp,equity,standard,0.0,8.0,0.0,28320.483622896452,False,False
hyperliquid,AAPL,xyz:AAPL,equity,builder_set,-2.1348e-06,1.0,-0.018700848,87393855.80897999,False,False
kraken,AAPL,PF_AAPLXUSD,equity,standard,-1.5061130759100083e-05,1.0,-0.13193550544971672,740425.3515341136,False,False
lighter,AAPL,AAPL,equity,standard,3.2e-05,8.0,0.03504,422056.34767499997,False,False
okx,AAPL,AAPL-USDT-SWAP,equity,standard,0.0,8.0,0.0,7003856.4885,False,False
orderly,AAPL,PERP_AAPL_USDC_mythos,equity,standard,0.00010149,8.0,0.11113155000000001,1525.4254799999999,False,False
ostium,AAPL,AAPL,equity,funding_plus_borrow,0.0,1.0,0.0,3017.984264085541,False,False
bitget,AAPU,AAPUUSDT,equity,standard,0.0,8.0,0.0,131974.07057999994,False,False
gate,AAPU,AAPU_USDT,equity,standard,0.0,8.0,0.0,14967.942000000001,False,False
apex,ABBV,ABBV-USDT,equity,standard,1.25e-05,1.0,0.1095,3.9844,False,False
gate,ABBV,ABBV_USDT,equity,standard,0.0,8.0,0.0,13442.529999999999,False,False
bitget,ABNB,ABNBUSDT,equity,standard,0.0,8.0,0.0,49666.89099999998,False,False
gate,ABNB,ABNB_USDT,equity,standard,0.0,8.0,0.0,26794.1184,False,False
gate,ACCELINK,ACCELINK_USDT,equity,standard,0.0,8.0,0.0,1175.8600000000001,False,False
bitget,ACHR,ACHRUSDT,equity,standard,0.0,8.0,0.0,166615.84895999994,False,False
gate,ACN,ACN_USDT,equity,standard,0.0,8.0,0.0,37787.7396,False,False
aster,ADBE,ADBEUSDT,equity,standard,0.0,8.0,0.0,8033.209987831201,False,False
binance,ADBE,ADBEUSDT,equity,standard,0.0,8.0,0.0,1141608.3848,False,False
bitget,ADBE,ADBEUSDT,equity,standard,0.0,8.0,0.0,365369.03479999973,False,False
bybit,ADBE,ADBEUSDT,equity,standard,0.0,8.0,0.0,125606.40879999999,False,False
gate,ADBE,ADBE_USDT,equity,standard,0.0,8.0,0.0,160458.4102,False,False
okx,ADBE,ADBE-USDT-SWAP,equity,standard,0.0,8.0,0.0,378003.4587,False,False
bitget,ADI,ADIUSDT,equity,standard,0.0,8.0,0.0,81338.09599999995,False,False
bybit,ADI,ADIUSDT,equity,standard,0.0,8.0,0.0,54548.7822,False,False
gate,ADI,ADI_USDT,equity,standard,0.0,8.0,0.0,13874.388000000003,False,False
gate,ADSK,ADSK_USDT,equity,standard,0.0,8.0,0.0,47595.470400000006,False,False
bitget,ADVANTEST,ADVANTESTUSDT,equity,standard,0.0,8.0,0.0,109822.60000000005,False,False
bitget,AEHR,AEHRUSDT,equity,standard,0.0,8.0,0.0,241754.39960000012,False,False
bybit,AEHR,AEHRUSDT,equity,standard,0.0,8.0,0.0,85565.86700000001,False,False
okx,AEHR,AEHR-USDT-SWAP,equity,standard,0.0,8.0,0.0,116455.338,False,False
gate,AGG,AGG_USDT,equity,standard,0.0,8.0,0.0,73825.425,False,False
aster,AGPU,AGPUUSDT,equity,standard,0.0001,8.0,0.1095,2755.8543604969,False,False
gate,AKESO,AKESO_USDT,equity,standard,0.0,8.0,0.0,6692.96,False,False
binance,ALAB,ALABUSDT,equity,standard,0.0,8.0,0.0,642752.6972999999,False,False
bitget,ALAB,ALABUSDT,equity,standard,0.0,8.0,0.0,239790.47299999953,False,False
bybit,ALAB,ALABUSDT,equity,standard,0.0,8.0,0.0,190445.6925,False,False
gate,ALAB,ALAB_USDT,equity,standard,0.0,8.0,0.0,208788.736,False,False
okx,ALAB,ALAB-USDT-SWAP,equity,standard,0.0,8.0,0.0,621246.2609999999,False,False
gate,ALB,ALB_USDT,equity,standard,0.0,8.0,0.0,32064.718,False,False
