coin,asset_class,short_venue,long_venue,tag,pin_verdict,cohort,fee_src,iv_short,iv_long,overlap_days,apr_full,apr_30d,apr_14d,pos_day_frac,persist_3bps,persist_10bps,persist_25bps,cond1_pos,cond7_pos,n_episodes,med_ep_days,max_ep_days,trend7_apr_pts_day,max_dd_notional,daily_std,cost_roundtrip,net_apr_14d_hold,net_apr_30d_hold,net_apr_ep_hold
GEV,equity,Crypto.com,HTX,E1NEW+RWA,ANCHORED,B,assumed/assumed,1.0,8.0,14.541667,2.653957,2.572864,2.559998,1.0,0.866667,0.866667,0.866667,0.933333,0.533333,1,15,15,-0.11594,0.000547,0.004231,0.002,2.601814,2.629624,2.60529
GEV,equity,Crypto.com,Gate.io,E1NEW+RWA,ANCHORED,B,assumed/assumed,1.0,8.0,14.541667,2.645665,2.564825,2.552037,1.0,0.866667,0.866667,0.866667,0.933333,0.533333,1,15,15,-0.115278,0.000547,0.00422,0.002,2.593522,2.621331,2.596998
ALAB,equity,Crypto.com,WhiteBIT,E1NEW+RWA,ANCHORED,B,assumed/assumed,1.0,8.0,14.541667,1.529839,1.483094,1.44566,1.0,0.866667,0.866667,0.666667,0.933333,0.533333,1,15,15,-0.047848,7.2e-05,0.0024,0.002,1.477696,1.505506,1.481172
FLUX,crypto,Variational,Crypto.com,E1NEW,PINNED,C,assumed/assumed,4.0,1.0,29.875,1.450437,1.448552,1.186962,0.83871,0.774194,0.709677,0.645161,0.846154,0.576923,4,8,9,0.004164,0.007767,0.003791,0.002,1.398294,1.426104,1.359187
AXTI,equity,Crypto.com,WhiteBIT,E1NEW+RWA,ANCHORED,B,assumed/assumed,1.0,8.0,14.541667,1.022725,0.991475,0.989692,0.933333,0.8,0.8,0.533333,0.857143,0.5,2,13,13,-0.052298,0.000445,0.002012,0.002,0.970582,0.998391,0.966571
CRDO,equity,Crypto.com,WhiteBIT,E1NEW+RWA,ANCHORED,B,assumed/assumed,1.0,8.0,14.541667,1.019965,0.988799,0.921891,1.0,0.866667,0.8,0.466667,0.933333,0.533333,1,15,15,-0.092535,0.000436,0.001683,0.002,0.967822,0.995632,0.971298
DKNG,equity,Crypto.com,WhiteBIT,E1NEW+RWA,ANCHORED,B,assumed/assumed,1.0,8.0,14.541667,0.944615,0.915752,0.897645,0.933333,0.8,0.8,0.533333,0.857143,0.5,2,8,8,-0.036597,0.002656,0.001848,0.002,0.892472,0.920282,0.853365
ASTS,equity,Crypto.com,WhiteBIT,E1NEW+RWA,ANCHORED,B,assumed/assumed,1.0,8.0,28.333333,0.912644,0.891663,0.416402,1.0,0.862069,0.586207,0.448276,0.965517,0.758621,1,29,29,-0.041725,0.001135,0.001993,0.002,0.860501,0.88831,0.887471
EWZ,equity,BingX,Crypto.com,E1NEW+RWA,PINNED,C,assumed/assumed,8.0,1.0,28.333333,0.858752,0.83901,1.487857,0.655172,0.655172,0.586207,0.482759,0.736842,0.684211,5,4,6,0.097269,0.009198,0.003233,0.002,0.806609,0.834418,0.676252
CAP,crypto,Variational,Crypto.com,E1NEW,ANCHORED,C,assumed/assumed,4.0,1.0,33.041667,0.858438,1.122087,0.597847,0.647059,0.588235,0.5,0.323529,0.863636,0.590909,3,9,12,0.083227,0.033264,0.009321,0.002,0.806295,0.834104,0.777327
