iv_h,n,days,modal,modal_apr,frac_at_modal,levels,coin,venue,is_covered,in_high,in_low
1.0,1199,117.83333333,1.25e-05,0.1095,0.64303586,417,0G,Aster,True,False,False
1.0,1197,117.79166667,1.25e-05,0.1095,0.45864662,644,0G,Backpack,False,True,False
4.0,537,157.16666667,5e-05,0.1095,0.58286778,193,0G,BingX,False,True,False
8.0,268,157.0,0.0001,0.1095,0.60447761,96,0G,Gate.io,False,False,True
4.0,160,26.5,5e-05,0.1095,0.9625,6,0G,Variational,False,True,False
1.0,1670,121.16666667,-0.00012589,-1.10276136,0.00299401,498,1INCH,Crypto.com,False,True,False
1.0,1669,121.16666667,-1.073e-05,-0.09398953,0.00059916,1633,1INCH,Kraken,False,True,False
8.0,376,179.6666463,0.0,0.0,0.28457447,270,1INCH,CoinEx,False,False,True
1.0,716,108.20833333,-3.2e-05,-0.28032,0.01815642,230,2Z,Coinbase,False,False,True
8.0,256,166.66665557,0.0,0.0,0.25,193,2Z,CoinEx,False,False,True
1.0,1746,121.16666667,-4.94e-06,-0.0432306,0.00286369,514,A,Crypto.com,False,True,False
8.0,385,179.66665567,0.0,0.0,0.37142857,243,A,CoinEx,False,False,True
8.0,223,74.0,0.0001,0.1095,0.50224215,106,AAOI,WhiteBIT,False,False,True
4.0,124,20.5,5e-05,0.1095,0.01612903,123,AAOI,edgeX,False,True,False
8.0,293,97.33333333,0.0001,0.1095,0.56996587,8,AAOI,HTX,False,False,True
8.0,291,92.66666667,0.0001,0.1095,0.70103093,56,AAOI,Gate.io,False,False,True
1.0,1373,114.33333333,7.332e-05,0.64232228,0.00072833,1269,AAPL,Nado,False,True,False
8.0,76,23.0,0.0001,0.1095,0.60526316,29,AAPL,BingX,False,True,False
8.0,69,22.66666667,0.0001,0.1095,0.98550725,2,AAPL,Orderly,False,True,False
1.0,357,14.83333333,1.2e-05,0.10512,0.78991597,36,AAVE,Lighter,False,True,False
8.0,45,14.66666667,0.0,0.0,0.6,19,AAVE,Bitfinex,False,False,True
8.0,246,164.66665535,0.0,0.0,0.65853659,85,AAVE,CoinEx,False,False,True
1.0,638,106.08333333,1.25e-05,0.1095,0.98902821,8,AAVE,Backpack,False,True,False
1.0,636,106.04166667,1.25e-05,0.1095,0.1509434,480,AAVE,Nado,False,True,False
1.0,637,106.08333333,-1.079e-05,-0.09450957,0.00156986,591,AAVE,Kraken,False,True,False
4.0,90,14.83333333,5e-05,0.1095,1.0,1,AAVE,edgeX,False,True,False
8.0,256,164.66666667,0.0001,0.1095,0.56640625,112,AAVE,HTX,False,False,True
1.0,638,106.08333333,1.25e-05,0.1095,0.98589342,10,AAVE,ApeX,False,True,False
8.0,80,106.0,0.0001,0.1095,0.25,61,AAVE,WhiteBIT,False,False,True
1.0,635,106.04166667,1.3e-05,0.11388,0.54015748,52,AAVE,Extended,False,True,False
