coin,short_venue,long_venue,long_leg_n,hours,days,pos_frac,median_spread_apr,mean_spread_apr,p25_spread_apr,slope_apr_pts_day,short_leg_median_apr,long_leg_median_apr,rt_stress_pct,net_apr_30d_pct,net_apr_14d_pct,breakeven_days,short_venue_reachable,long_venue_reachable
CASHCAT,hl,Crypto.com,1097,1196,49.8,0.799,603.5,224.7,43.5,24.133,57.7,-109.8,0.39,598.8,593.3,0.2,untested,reachable
COTI,bitget,Variational,584,799,33.3,0.64,344.9,207.3,-143.2,-17.058,11.4,-333.5,0.42,339.8,334.0,0.4,untested,blocked
COTI,bitget,Crypto.com,584,1433,59.7,0.735,316.5,411.9,-63.9,-2.629,10.9,-361.1,0.42,311.4,305.6,0.5,untested,reachable
CELR,bitget,Crypto.com,180,1433,59.7,0.817,294.2,263.1,70.4,-2.258,10.9,-284.5,0.42,289.0,283.2,0.5,untested,reachable
COTI,bitget,Kraken,584,1433,59.7,0.816,239.0,278.4,63.5,2.849,10.9,-344.2,0.42,233.9,228.1,0.6,untested,reachable
XAG,bybit,Bitfinex,540,169,7.0,0.74,234.6,154.3,0.0,-40.039,5.9,-216.9,0.41,229.6,223.9,0.6,untested,untested
INJ,dydx,Extended,1000,1000,41.7,0.794,201.5,134.9,8.7,-0.757,0.0,-201.5,0.4,196.6,191.1,0.7,untested,blocked
KAITO,binance,Kraken,164,1437,59.9,0.868,197.5,110.1,91.7,3.018,10.9,-186.5,0.4,192.6,187.0,0.7,untested,reachable
BIO,binance,Kraken,235,1437,59.9,0.834,182.5,63.8,68.4,3.597,10.9,-171.6,0.4,177.6,172.1,0.8,untested,reachable
AIXBT,binance,Kraken,277,1437,59.9,0.9,177.2,122.1,96.1,0.308,10.9,-169.2,0.4,172.3,166.7,0.8,untested,reachable
DATAIP,binance,Crypto.com,360,1337,55.7,0.836,153.6,173.5,46.5,-4.889,-31.2,-201.1,0.4,148.7,143.2,1.0,untested,reachable
MSTR,bybit,Kraken,270,1417,59.0,0.701,148.9,98.9,-19.2,1.393,0.0,-147.6,0.41,143.9,138.2,1.0,untested,reachable
MEW,binance,Kraken,326,1437,59.9,0.897,147.5,101.5,71.1,-0.498,10.9,-137.0,0.4,142.7,137.1,1.0,untested,reachable
LINEA,okx,Crypto.com,183,1437,59.9,0.816,146.3,78.5,28.4,1.932,10.9,-135.4,0.4,141.5,135.9,1.0,untested,reachable
APE,bitget,Extended,112,1017,42.4,0.764,143.2,95.8,10.1,-0.856,10.9,-132.3,0.42,138.1,132.3,1.1,untested,blocked
CELR,bitget,Kraken,180,1433,59.7,0.902,138.4,48.2,71.1,-0.207,10.9,-128.2,0.42,133.3,127.5,1.1,untested,reachable
AAVE,hl,HTX,2156,1419,59.1,0.935,136.8,116.8,108.9,-0.735,10.9,-125.9,0.39,132.1,126.7,1.0,untested,reachable
LIT,dydx,Coinbase,1000,178,7.4,0.983,132.7,120.1,63.9,-4.209,0.0,-120.0,0.4,127.8,122.3,1.1,untested,blocked
COTI,bitget,KuCoin,584,856,35.7,0.602,132.7,97.7,-113.9,5.096,11.4,-302.2,0.42,127.6,121.8,1.2,untested,reachable
CRV,hl,Crypto.com,2156,1426,59.4,0.905,132.0,105.9,102.0,0.252,10.9,-121.1,0.39,127.3,121.9,1.1,untested,reachable
