venue,category,rows,modal_rate,modal_apr_pct,pct_at_modal,interval_hours,we_cover
BitMEX,cex,15,0.0001,10.95,93.3,8,NO
Pacifica,perp_dex,75,1.25e-05,10.95,85.3,1,NO
Hyperliquid,perp_dex,177,1.25e-05,10.95,83.6,1,yes
dYdX,perp_dex,99,0,0.0,80.8,1,yes
Bitfinex,cex,79,0,0.0,57.0,8,NO
WhiteBIT,cex,398,5e-05,10.95,51.8,1/4/8,NO
HTX,cex,316,0,0.0,51.3,1/4/8,NO
Backpack,perp_dex,76,1.25e-05,10.95,50.0,1,NO
KuCoin,cex,669,5e-05,10.95,47.8,1/4/8,NO
Nado,perp_dex,72,1.25e-05,10.95,44.4,1,NO
Variational,perp_dex,547,5e-05,10.95,44.2,1/4/8,NO
Extended,perp_dex,306,1.3e-05,11.39,44.1,1,NO
Binance,cex,722,5e-05,10.95,41.8,1/4/8,yes
Aster,perp_dex,549,1.25e-05,10.95,41.5,1/4/8,yes
CoinEx,cex,207,0,0.0,41.5,4/8,NO
Bitunix,cex,736,5e-05,10.95,41.2,1/4/8,NO
ApeX,perp_dex,86,1.25e-05,10.95,40.7,1,NO
Gate.io,cex,949,0,0.0,40.0,1/4/8,yes
BingX,cex,1092,5e-05,10.95,39.7,1/4/8,NO
Bitget,cex,767,5e-05,10.95,39.2,1/4/8,yes
LBank,cex,780,5e-05,10.95,36.7,1/4/8,NO
Bybit,cex,767,5e-05,10.95,35.9,1/4/8,yes
GRVT,perp_dex,194,0,0.0,35.1,4/8,NO
Lighter,perp_dex,214,4e-06,3.5,35.0,1,NO
Orderly,perp_dex,136,0.0001,10.95,30.9,4/8,NO
OKX,cex,458,5e-05,10.95,30.8,4/8,yes
MEXC,cex,1045,5e-05,10.95,30.0,1/4/8/24,NO
tradeXYZ,perp_dex,117,6.25e-06,5.48,28.2,1,NO
edgeX,perp_dex,163,5e-05,10.95,25.2,4,NO
Deribit,cex,40,0,0.0,20.0,8,NO
Coinbase,cex,140,1.6e-05,14.02,2.9,1,NO
Kraken,cex,278,-1.166e-05,-10.22,0.7,1,NO
Crypto.com,cex,375,9.516e-05,83.36,0.5,1,NO
