venue,base,n_windows,bid_500_min,bid_500_med,bid_500_max,bid_500_winok,bid_1000_min,bid_1000_med,bid_1000_max,bid_1000_winok,bid_2500_min,bid_2500_med,bid_2500_max,bid_2500_winok,bid_5000_min,bid_5000_med,bid_5000_max,bid_5000_winok,bid_10000_min,bid_10000_med,bid_10000_max,bid_10000_winok,bid_25000_min,bid_25000_med,bid_25000_max,bid_25000_winok,ask_500_min,ask_500_med,ask_500_max,ask_500_winok,ask_1000_min,ask_1000_med,ask_1000_max,ask_1000_winok,ask_2500_min,ask_2500_med,ask_2500_max,ask_2500_winok,ask_5000_min,ask_5000_med,ask_5000_max,ask_5000_winok,ask_10000_min,ask_10000_med,ask_10000_max,ask_10000_winok,ask_25000_min,ask_25000_med,ask_25000_max,ask_25000_winok,spread_med,spread_max
aster,AR,9,8.8,11.22,13.24,9,8.8,11.24,13.24,9,10.98,15.26,19.57,9,14.63,22.31,26.59,8,19.39,25.13,31.54,4,238.54,301.53,468.82,0,6.73,11.24,13.24,9,6.73,11.25,15.78,9,11.62,14.12,19.5,9,17.29,18.79,25.58,7,20.71,22.63,172.44,7,67.4,205.94,498.76,0,22.42,26.49
aster,BTW,9,4.1,7.45,9.09,9,4.1,8.81,10.52,9,4.71,10.34,15.29,9,8.8,13.86,23.67,9,13.41,20.02,31.33,8,27.09,37.69,58.26,0,5.68,6.07,11.61,9,5.7,6.26,13.84,9,6.23,7.83,16.48,9,6.97,9.61,18.49,9,8.62,13.3,21.57,9,19.26,25.69,38.45,3,10.96,13.73
aster,FET,9,9.76,9.94,13.11,9,9.76,9.94,13.11,9,9.77,12.93,15.03,9,9.9,13.12,16.25,9,12.45,14.63,17.46,9,16.25,29.88,109.6,2,9.76,9.94,13.43,9,9.76,9.94,16.56,9,9.9,12.93,18.43,9,9.9,14.86,20.11,9,9.94,15.71,63.47,5,10.73,108.01,440.29,1,19.87,26.21
aster,FIL,9,6.26,7.18,13.0,9,6.26,7.18,13.0,9,6.48,12.95,14.17,9,7.18,13.0,16.14,9,7.18,14.33,17.68,9,21.57,23.59,104.73,7,6.26,7.18,13.0,9,6.26,7.55,13.0,9,9.7,12.97,14.69,9,13.0,14.33,17.85,9,14.33,19.69,21.52,9,58.63,89.23,144.09,0,14.36,26.01
aster,ICP,9,2.76,6.19,7.91,9,4.47,9.58,11.88,9,8.04,12.47,15.42,9,9.27,14.95,18.85,9,12.23,18.96,21.27,9,16.59,24.43,33.15,5,2.06,4.08,7.72,9,2.06,4.83,10.01,9,4.54,8.87,14.56,9,5.36,10.55,17.53,9,7.67,14.5,21.05,9,32.73,51.84,76.1,0,8.0,8.2
aster,KAS,9,9.18,14.49,16.43,9,9.18,14.49,16.43,9,11.12,14.76,18.35,9,19.71,23.7,25.94,8,24.45,29.22,32.14,1,43.82,47.04,51.73,0,11.93,14.52,16.43,9,14.52,16.92,18.34,9,19.41,22.13,24.28,9,27.19,29.01,32.05,0,59.36,63.02,69.76,0,270.7,282.88,298.63,0,28.98,32.86
aster,KITE,9,0.36,5.03,6.8,9,0.73,6.2,8.65,9,4.58,9.03,12.12,9,8.59,13.71,15.07,9,13.05,18.55,20.78,9,84.69,152.22,240.8,0,0.36,3.98,7.26,9,0.36,4.89,8.45,9,6.46,10.69,11.69,9,11.75,15.98,23.09,9,67.9,100.55,300.79,0,376.21,453.93,473.43,0,7.96,13.15
aster,LDO,9,5.61,6.97,10.88,9,5.61,6.97,10.88,9,9.39,11.13,14.22,9,11.73,14.27,16.81,9,13.54,15.84,19.95,9,28.56,208.15,267.86,0,5.61,6.91,10.88,9,5.62,6.91,10.88,9,8.52,10.49,11.97,9,10.42,13.55,15.73,9,12.01,14.38,139.77,6,190.88,241.74,492.68,0,13.82,21.76
aster,MAGMA,9,4.88,7.47,10.03,9,6.83,8.09,11.09,9,7.24,11.19,18.52,9,8.93,15.9,28.34,8,15.86,28.92,47.9,2,44.96,79.86,186.38,0,4.57,8.02,10.69,9,4.58,8.84,13.67,9,7.51,13.27,17.47,9,10.19,19.07,25.68,8,17.72,32.7,40.68,1,59.4,115.09,159.18,0,11.27,15.7
aster,MORPHO,9,6.92,7.33,14.98,9,6.92,7.33,14.98,9,7.15,13.79,15.48,9,30.07,103.48,113.7,0,107.23,184.54,197.93,0,229.0,321.69,1209.85,0,6.92,7.33,125.2,8,6.93,7.34,127.85,8,12.6,15.64,147.12,8,104.34,119.81,212.22,0,169.85,210.23,251.49,0,232.31,350.37,599.18,0,14.65,29.96
