coin,short_venue,long_venue,apr_30d,pos_day_frac,n_windows,rt1k_med,rt1k_min,rt1k_max,rt5k_med,rt10k_med,rt10k_max,swing_1k,swing_10k,net1k_worst,net1k_best,net10k_worst,net1k_maker_worst,cap_stable,depth1k_worst,wins_pass1k,wins_pass10k,wins_total,rt1k_by_window,cap_by_window,verdict,pass_10k_stable
BTW,aster,bitget,0.866254,0.966667,9,36.1,29.5,47.9,61.1,94.9,156.5,1.3,1.6,0.7836,0.806,0.6515,0.804,2500,2313,9,0,9,44|36|32|29|36|43|35|48|34,5000|10000|10000|10000|5000|5000|5000|2500|5000,STABLE,0
MAGMA,aster,bitget,0.583502,0.989011,9,36.2,28.4,43.0,70.6,103.1,118.4,1.2,1.1,0.5068,0.5246,0.4152,0.5267,2500,1888,9,0,9,36|42|39|43|32|32|28|32|38,5000|5000|2500|5000|5000|5000|5000|5000|2500,STABLE,0
MAGMA,aster,bybit,0.553811,1.0,9,34.8,25.5,50.0,89.5,144.3,208.6,1.4,1.4,0.4699,0.4996,0.2769,0.4885,2500,1308,9,0,9,35|50|35|40|26|26|26|26|42,5000|2500|2500|2500|5000|5000|5000|5000|2500,STABLE,0
MAGMA,aster,binance,0.519924,1.0,9,25.2,17.8,33.6,56.7,90.6,143.8,1.3,1.6,0.4572,0.4763,0.3231,0.4763,2500,1888,9,0,9,25|33|34|29|21|18|19|24|32,5000|5000|2500|5000|5000|5000|5000|5000|2500,STABLE,0
UAI,aster,binance,0.48684,1.0,9,22.3,14.7,28.2,36.8,53.3,58.7,1.3,1.1,0.4306,0.4471,0.3935,0.4476,5000,4469,9,4,9,23|22|23|15|23|15|20|20|28,25000|10000|5000|25000|10000|10000|10000|25000|10000,STABLE,0
UAI,aster,bitget,0.483795,1.0,9,33.0,22.9,43.3,53.7,70.9,86.0,1.3,1.2,0.4068,0.4315,0.3548,0.4238,5000,2977,9,0,9,40|33|33|26|31|23|28|33|43,10000|5000|5000|10000|10000|10000|10000|10000|5000,STABLE,0
UAI,aster,bybit,0.481424,0.978022,9,29.9,20.8,44.1,62.8,99.1,199.0,1.5,2.0,0.4047,0.433,0.2162,0.4216,1000,1128,9,0,9,41|33|29|23|30|21|30|26|44,2500|2500|5000|10000|5000|5000|2500|5000|1000,STABLE,0
RIVER,aster,bitget,0.322176,1.0,9,30.7,24.1,33.9,47.4,66.3,69.9,1.1,1.1,0.2565,0.2685,0.2128,0.2761,5000,4103,9,0,9,30|30|31|30|31|24|31|34|33,5000|10000|10000|10000|10000|10000|5000|10000|10000,STABLE,0
RIVER,aster,binance,0.306187,1.0,9,24.8,19.3,31.0,43.7,62.7,67.7,1.3,1.1,0.2466,0.2607,0.202,0.2698,5000,4103,9,0,9,26|24|25|25|24|19|24|26|31,5000|10000|10000|10000|10000|10000|5000|10000|10000,STABLE,0
KITE,aster,binance,0.208587,1.0,9,21.7,7.5,25.3,52.5,156.9,356.3,1.2,2.3,0.1559,0.1776,-0.2469,0.1732,5000,3142,9,0,9,13|22|25|24|22|20|7|22|13,5000|5000|5000|5000|5000|5000|5000|5000|5000,STABLE,0
